Geno,family,female_parent,male_parent
G_23,jardin,G_Ruby,G_Centennial
G_5.1.111,406,G_23,G_Crimson
G_5.1.123,406,G_23,G_Crimson
G_5.1.125,406,G_23,G_Crimson
G_5.1.126,406,G_23,G_Crimson
G_5.1.129,406,G_23,G_Crimson
G_5.1.130,406,G_23,G_Crimson
G_5.1.133,406,G_23,G_Crimson
G_5.1.135,406,G_23,G_Crimson
G_5.1.137,406,G_23,G_Crimson
G_5.1.138,406,G_23,G_Crimson
G_5.1.140,406,G_23,G_Crimson
G_5.1.142,406,G_23,G_Crimson
G_5.1.145,406,G_23,G_Crimson
G_5.1.148,406,G_23,G_Crimson
G_5.1.149,411,G_23,G_Crimson
G_5.1.151,406,G_23,G_Crimson
G_5.1.152,406,G_23,G_Crimson
G_5.1.153,406,G_23,G_Crimson
G_5.1.155,406,G_23,G_Crimson
G_5.1.156,406,G_23,G_Crimson
G_5.1.160,406,G_23,G_Crimson
G_5.1.161,406,G_23,G_Crimson
G_5.1.162,406,G_23,G_Crimson
G_5.1.165,406,G_23,G_Crimson
G_5.1.167,self,G_23,G_Iniagrape.one
G_5.1.169,self,G_23,G_Iniagrape.one
G_5.1.172,411,G_23,G_Iniagrape.one
G_5.1.173,411,G_23,G_Iniagrape.one
G_5.1.63,self,G_23,G_Crimson
G_5.1.64,406,G_23,G_Crimson
G_5.1.75,self,G_23,G_Crimson
G_5.1.78,406,G_23,G_Crimson
G_5.1.81,406,G_23,G_Crimson
G_5.1.83,406,G_23,G_Crimson
G_5.1.84,406,G_23,G_Crimson
G_5.1.90,406,G_23,G_Crimson
G_5.1.93,406,G_23,G_Crimson
G_5.10.103,929,G_Italia,G_Seleccion.5
G_5.10.104,929,G_Italia,G_Seleccion.5
G_5.10.106,929,G_Italia,G_Seleccion.5
G_5.10.107,929,G_Italia,G_Seleccion.5
G_5.10.108,929,G_Italia,G_Seleccion.5
G_5.10.130,929,G_Italia,G_Seleccion.5
G_5.10.136,929,G_Italia,G_Seleccion.5
G_5.10.138,jardin,G_Italia,G_Seleccion.5
G_5.10.141,929,G_Italia,G_Seleccion.5
G_5.10.145,929,G_Italia,G_Seleccion.5
G_5.10.152,jardin,G_Italia,G_Seleccion.5
G_5.10.156,929,G_Italia,G_Seleccion.5
G_5.10.158,929,G_Italia,G_Seleccion.5
G_5.10.161,929,G_Italia,G_Seleccion.5
G_5.10.168,929,G_Italia,G_Seleccion.5
G_5.10.173,929,G_Italia,G_Seleccion.5
G_5.10.177,929,G_Italia,G_Seleccion.5
G_5.10.18,902,G_Italia,G_Seleccion.5
G_5.10.66,jardin,G_Italia,G_Seleccion.5
G_5.10.69,929,G_Italia,G_Seleccion.5
G_5.10.71,929,G_Italia,G_Seleccion.5
G_5.10.73,929,G_Italia,G_Seleccion.5
G_5.10.74,jardin,G_Italia,G_Seleccion.5
G_5.10.79,929,G_Italia,G_Seleccion.5
G_5.10.82,929,G_Italia,G_Seleccion.5
G_5.10.84,929,G_Italia,G_Seleccion.5
G_5.10.86,929,G_Italia,G_Seleccion.5
G_5.10.88,929,G_Italia,G_Seleccion.5
G_5.10.89,929,G_Italia,G_Seleccion.5
G_5.10.91,929,G_Italia,G_Seleccion.5
G_5.10.92,929,G_Italia,G_Seleccion.5
G_5.10.93,929,G_Italia,G_Seleccion.5
G_5.10.96,929,G_Italia,G_Seleccion.5
G_5.10.98,929,G_Italia,G_Seleccion.5
G_5.10.99,929,G_Italia,G_Seleccion.5
G_5.2.1,900,G_23,G_3V
G_5.2.10,900,G_23,G_3V
G_5.2.106,411,G_23,G_Iniagrape.one
G_5.2.110,self,G_23,G_Iniagrape.one
G_5.2.112,self,G_23,G_Iniagrape.one
G_5.2.115,self,G_23,G_Iniagrape.one
G_5.2.117,411,G_23,G_Iniagrape.one
G_5.2.120,411,G_23,G_Iniagrape.one
G_5.2.122,411,G_23,G_Iniagrape.one
G_5.2.124,self,G_23,G_Iniagrape.one
G_5.2.125,411,G_23,G_Iniagrape.one
G_5.2.13,900,G_23,G_3V
G_5.2.131,411,G_23,G_Iniagrape.one
G_5.2.132,411,G_23,G_Iniagrape.one
G_5.2.134,411,G_23,G_Iniagrape.one
G_5.2.137,self,G_23,G_Iniagrape.one
G_5.2.138,self,G_23,G_Iniagrape.one
G_5.2.139,406,G_23,G_Iniagrape.one
G_5.2.147,411,G_23,G_Iniagrape.one
G_5.2.148,self,G_23,G_Iniagrape.one
G_5.2.15,900,G_23,G_3V
G_5.2.150,411,G_23,G_Iniagrape.one
G_5.2.154,411,G_23,G_Iniagrape.one
G_5.2.156,411,G_23,G_Iniagrape.one
G_5.2.16,900,G_23,G_3V
G_5.2.160,411,G_23,G_Iniagrape.one
G_5.2.163,411,G_23,G_Iniagrape.one
G_5.2.165,411,G_23,G_Iniagrape.one
G_5.2.166,self,G_23,G_Iniagrape.one
G_5.2.169,411,G_23,G_Iniagrape.one
G_5.2.17,self,G_23,G_3V
G_5.2.18,900,G_23,G_3V
G_5.2.2,900,G_23,G_3V
G_5.2.3,900,G_23,G_3V
G_5.2.4,900,G_23,G_3V
G_5.2.5,900,G_23,G_3V
G_5.2.7,self,G_23,G_3V
G_5.2.72,902,G_Flame,G_18V
G_5.2.73,902,G_Flame,G_18V
G_5.2.76,902,G_Flame,G_18V
G_5.2.77,902,G_Flame,G_18V
G_5.2.78,902,G_Flame,G_18V
G_5.2.8,900,G_23,G_3V
G_5.2.82,902,G_Flame,G_18V
G_5.2.9,900,G_23,G_3V
G_5.3.1,900,G_23,G_3V
G_5.3.100,912,G_23,G_5LL
G_5.3.101,912,G_23,G_5LL
G_5.3.102,912,G_23,G_5LL
G_5.3.106,912,G_23,G_5LL
G_5.3.11,900,G_23,G_3V
G_5.3.110,912,G_23,G_5LL
G_5.3.111,912,G_23,G_5LL
G_5.3.113,912,G_23,G_5LL
G_5.3.114,912,G_23,G_5LL
G_5.3.118,912,G_23,G_5LL
G_5.3.12,900,G_23,G_3V
G_5.3.120,912,G_23,G_5LL
G_5.3.121,self,G_23,G_5LL
G_5.3.122,912,G_23,G_5LL
G_5.3.123,self,G_23,G_5LL
G_5.3.125,912,G_23,G_5LL
G_5.3.13,900,G_23,G_3V
G_5.3.14,900,G_23,G_3V
G_5.3.15,900,G_23,G_3V
G_5.3.164,111,G_Flame,G_Crimson
G_5.3.165,111,G_Flame,G_Crimson
G_5.3.168,111,G_Flame,G_Crimson
G_5.3.17,900,G_23,G_3V
G_5.3.171,902,G_Flame,G_Crimson
G_5.3.18,900,G_23,G_3V
G_5.3.19,900,G_23,G_3V
G_5.3.21,900,G_23,G_3V
G_5.3.24,self,G_23,G_3V
G_5.3.25,self,G_23,G_3V
G_5.3.26,900,G_23,G_3V
G_5.3.28,self,G_23,G_3V
G_5.3.3,900,G_23,G_3V
G_5.3.31,900,G_23,G_3V
G_5.3.32,self,G_23,G_3V
G_5.3.35,900,G_23,G_3V
G_5.3.37,912,G_23,G_3V
G_5.3.40,912,G_23,G_5LL
G_5.3.47,912,G_23,G_5LL
G_5.3.49,912,G_23,G_5LL
G_5.3.5,900,G_23,G_3V
G_5.3.50,912,G_23,G_5LL
G_5.3.52,912,G_23,G_5LL
G_5.3.56,912,G_23,G_5LL
G_5.3.59,912,G_23,G_5LL
G_5.3.6,self,G_23,G_3V
G_5.3.60,912,G_23,G_5LL
G_5.3.61,912,G_23,G_5LL
G_5.3.67,912,G_23,G_5LL
G_5.3.68,912,G_23,G_5LL
G_5.3.7,900,G_23,G_3V
G_5.3.70,912,G_23,G_5LL
G_5.3.72,self,G_23,G_5LL
G_5.3.75,912,G_23,G_5LL
G_5.3.78,912,G_23,G_5LL
G_5.3.79,912,G_23,G_5LL
G_5.3.8,900,G_23,G_3V
G_5.3.82,912,G_23,G_5LL
G_5.3.9,900,G_23,G_3V
G_5.3.90,912,G_23,G_5LL
G_5.3.91,912,G_23,G_5LL
G_5.3.92,912,G_23,G_5LL
G_5.3.96,912,G_23,G_5LL
G_5.4.10,411,G_23,G_Iniagrape.one
G_5.4.103,406,G_23,G_Crimson
G_5.4.104,406,G_23,G_Crimson
G_5.4.105,406,G_23,G_Crimson
G_5.4.106,406,G_23,G_Crimson
G_5.4.11,self,G_23,G_Iniagrape.one
G_5.4.110,406,G_23,G_Crimson
G_5.4.111,406,G_23,G_Crimson
G_5.4.112,406,G_23,G_Crimson
G_5.4.113,406,G_23,G_Crimson
G_5.4.114,406,G_23,G_Crimson
G_5.4.115,406,G_23,G_Crimson
G_5.4.116,406,G_23,G_Crimson
G_5.4.117,406,G_23,G_Crimson
G_5.4.118,406,G_23,G_Crimson
G_5.4.119,406,G_23,G_Crimson
G_5.4.12,411,G_23,G_Iniagrape.one
G_5.4.120,406,G_23,G_Crimson
G_5.4.122,406,G_23,G_Crimson
G_5.4.124,406,G_23,G_Crimson
G_5.4.125,406,G_23,G_Crimson
G_5.4.129,406,G_23,G_Crimson
G_5.4.130,406,G_23,G_Crimson
