Geno,female_parent,male_parent,family
G_23,NA,NA,jardin
G_5.1.111,23,Crimson,406
G_5.1.123,23,Crimson,406
G_5.1.125,23,Crimson,406
G_5.1.126,23,Crimson,406
G_5.1.129,23,Crimson,406
G_5.1.130,23,Crimson,406
G_5.1.133,23,Crimson,406
G_5.1.135,23,Crimson,406
G_5.1.137,23,Crimson,406
G_5.1.138,23,Crimson,406
G_5.1.140,23,Crimson,406
G_5.1.142,23,Crimson,406
G_5.1.145,23,Crimson,406
G_5.1.148,23,Crimson,406
G_5.1.149,23,Crimson,411
G_5.1.151,23,Crimson,406
G_5.1.152,23,Crimson,406
G_5.1.153,23,Crimson,406
G_5.1.155,23,Crimson,406
G_5.1.156,23,Crimson,406
G_5.1.160,23,Crimson,406
G_5.1.161,23,Crimson,406
G_5.1.162,23,Crimson,406
G_5.1.165,23,Crimson,406
G_5.1.167,23,Iniagrape.one,self
G_5.1.169,23,Iniagrape.one,self
G_5.1.172,23,Iniagrape.one,411
G_5.1.173,23,Iniagrape.one,411
G_5.1.63,23,Crimson,self
G_5.1.64,23,Crimson,406
G_5.1.75,23,Crimson,self
G_5.1.78,23,Crimson,406
G_5.1.81,23,Crimson,406
G_5.1.83,23,Crimson,406
G_5.1.84,23,Crimson,406
G_5.1.90,23,Crimson,406
G_5.1.93,23,Crimson,406
G_5.10.103,Italia,Seleccion.5,929
G_5.10.104,Italia,Seleccion.5,929
G_5.10.106,Italia,Seleccion.5,929
G_5.10.107,Italia,Seleccion.5,929
G_5.10.108,Italia,Seleccion.5,929
G_5.10.130,Italia,Seleccion.5,929
G_5.10.136,Italia,Seleccion.5,929
G_5.10.138,Italia,Seleccion.5,jardin
G_5.10.141,Italia,Seleccion.5,929
G_5.10.145,Italia,Seleccion.5,929
G_5.10.152,Italia,Seleccion.5,jardin
G_5.10.156,Italia,Seleccion.5,929
G_5.10.158,Italia,Seleccion.5,929
G_5.10.161,Italia,Seleccion.5,929
G_5.10.168,Italia,Seleccion.5,929
G_5.10.173,Italia,Seleccion.5,929
G_5.10.177,Italia,Seleccion.5,929
G_5.10.18,Italia,Seleccion.5,902
G_5.10.66,Italia,Seleccion.5,jardin
G_5.10.69,Italia,Seleccion.5,929
G_5.10.71,Italia,Seleccion.5,929
G_5.10.73,Italia,Seleccion.5,929
G_5.10.74,Italia,Seleccion.5,jardin
G_5.10.79,Italia,Seleccion.5,929
G_5.10.82,Italia,Seleccion.5,929
G_5.10.84,Italia,Seleccion.5,929
G_5.10.86,Italia,Seleccion.5,929
G_5.10.88,Italia,Seleccion.5,929
G_5.10.89,Italia,Seleccion.5,929
G_5.10.91,Italia,Seleccion.5,929
G_5.10.92,Italia,Seleccion.5,929
G_5.10.93,Italia,Seleccion.5,929
G_5.10.96,Italia,Seleccion.5,929
G_5.10.98,Italia,Seleccion.5,929
G_5.10.99,Italia,Seleccion.5,929
G_5.2.1,23,3V,900
G_5.2.10,23,3V,900
G_5.2.106,23,Iniagrape.one,411
G_5.2.110,23,Iniagrape.one,self
G_5.2.112,23,Iniagrape.one,self
G_5.2.115,23,Iniagrape.one,self
G_5.2.117,23,Iniagrape.one,411
G_5.2.120,23,Iniagrape.one,411
G_5.2.122,23,Iniagrape.one,411
G_5.2.124,23,Iniagrape.one,self
G_5.2.125,23,Iniagrape.one,411
G_5.2.13,23,3V,900
G_5.2.131,23,Iniagrape.one,411
G_5.2.132,23,Iniagrape.one,411
G_5.2.134,23,Iniagrape.one,411
G_5.2.137,23,Iniagrape.one,self
G_5.2.138,23,Iniagrape.one,self
G_5.2.139,23,Iniagrape.one,406
G_5.2.147,23,Iniagrape.one,411
G_5.2.148,23,Iniagrape.one,self
G_5.2.15,23,3V,900
G_5.2.150,23,Iniagrape.one,411
G_5.2.154,23,Iniagrape.one,411
G_5.2.156,23,Iniagrape.one,411
G_5.2.16,23,3V,900
G_5.2.160,23,Iniagrape.one,411
G_5.2.163,23,Iniagrape.one,411
G_5.2.165,23,Iniagrape.one,411
G_5.2.166,23,Iniagrape.one,self
G_5.2.169,23,Iniagrape.one,411
G_5.2.17,23,3V,self
G_5.2.18,23,3V,900
G_5.2.2,23,3V,900
G_5.2.3,23,3V,900
G_5.2.4,23,3V,900
