season,family,gid,plant,replicated,B_width,soluble_solids,S_dry
2020,jardin,G_23,1,R1,1.72,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.69,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.61,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.6,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.65,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.53,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.82,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.56,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.78,16,0.004270000000000001
2020,jardin,G_23,1,R2,1.73,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.65,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.71,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.56,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.66,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.45,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.64,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.47,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.49,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.5,17,0.0061299999999999966
2020,jardin,G_23,1,R3,1.54,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.52,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.53,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.58,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.49,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.51,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.67,16,0.0025900000000000033
2020,jardin,G_23,2,R1,1.71,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.55,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.7,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.58,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.66,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.88,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.77,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.68,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.78,19,0.008590000000000004
2020,jardin,G_23,2,R2,1.8,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.53,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.56,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.54,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.5,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.66,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.35,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.6,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.69,18,0.0035899999999999986
2020,jardin,G_23,2,R3,1.59,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.44,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.58,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.5,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.55,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.51,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.48,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.54,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.53,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.28,18,0.002030000000000004
2020,jardin,G_23,3,R1,1.39,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.48,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.53,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.45,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.56,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.42,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.49,18,0.0025499999999999967
2020,jardin,G_23,3,R2,1.62,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.69,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.57,18,0.003410000000000002
