season,family,gid,plant,replicated,H_cluster,soluble_solids,S_dry
2020,jardin,G_Centennial,1,R1,612,18,0.005430000000000002
2020,jardin,G_Centennial,1,R2,426.8,18,0.0033700000000000006
2020,jardin,G_Centennial,1,R3,597.7,16,0.0017900000000000027
2020,jardin,G_Centennial,2,R1,470,19,0.00252
2020,jardin,G_Centennial,2,R2,385.3,17,1.5000000000000012e-4
2020,jardin,G_Centennial,3,R1,504.3,18,0.0031899999999999984
2020,jardin,G_Centennial,3,R2,435.5,17,0.0010099999999999998
2020,jardin,G_AG.Isioum,1,R1,487.4,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R2,456.7,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R3,502.4,16,0.031869999999999996
2020,jardin,G_Csaba.Gyangye,1,R1,57.9,22,0.027340000000000003
2020,jardin,G_Csaba.Gyangye,1,R2,215.3,19,0.029220000000000003
2020,jardin,G_Csaba.Gyangye,2,R1,194.9,21,0.023299999999999994
2020,jardin,G_Csaba.Gyangye,2,R2,72.3,24,0.017230000000000002
2020,jardin,G_Csaba.Gyangye,2,R3,107.3,22,0.03821
2020,jardin,G_Csaba.Gyangye,3,R1,88.3,22,0.026630000000000004
2020,jardin,G_Ilusion,1,R1,301,17,0.04118000000000001
2020,jardin,G_Ilusion,1,R2,311,18,0.04969
2020,jardin,G_Ilusion,2,R1,448.2,19,0.05874
2020,jardin,G_Ilusion,2,R2,259.1,16,0.07061999999999999
2020,jardin,G_Ilusion,2,R3,511,19,0.04093
2020,jardin,G_Ilusion,3,R1,212,18,0.0519
2020,jardin,G_Ilusion,3,R2,416.2,20,0.048290000000000007
2020,jardin,G_Ilusion,3,R3,467.5,20,0.06570000000000001
2020,jardin,G_Chirai.Obak,1,R1,1188.6,16,0.04229
2020,jardin,G_Chirai.Obak,1,R2,608.4,15,0.03904
2020,jardin,G_Chirai.Obak,1,R3,878.6,15,0.06966
2020,jardin,G_Chirai.Obak,2,R1,847.9,16,0.06754
2020,jardin,G_Chirai.Obak,2,R2,860.6,12,0.06633
2020,jardin,G_Chirai.Obak,2,R3,1130,14,0.06421
2020,jardin,G_Chirai.Obak,3,R1,496.8,14,0.07635
2020,jardin,G_Chirai.Obak,3,R2,778.7,15,0.061349999999999995
2020,jardin,G_Chirai.Obak,3,R3,695.5,13,0.06058
2020,jardin,G_Big.Red,1,R1,320.6,16,0.01676
2020,jardin,G_Big.Red,1,R2,778.5,17,0.012030000000000002
2020,jardin,G_Big.Red,1,R3,723.7,16,0.007949999999999995
2020,jardin,G_Big.Red,2,R1,619.4,16,0.015460000000000002
2020,jardin,G_Big.Red,2,R2,460.7,15,0.014879999999999996
2020,jardin,G_Big.Red,2,R3,857.6,15,0.01971
2020,jardin,G_Big.Red,3,R1,362.9,17,0.007789999999999997
