season,family,gid,plant,replicated,P_cluster_loss,soluble_solids
2020,jardin,G_Ilusion,1,R1,3.3942558746736324,17
2020,jardin,G_Ilusion,2,R1,4.611211573236886,19
2020,jardin,G_Ilusion,3,R1,4.862579281183926,18
2020,jardin,G_Ilusion,3,R2,3.448275862068968,20
2020,jardin,G_Centennial,1,R1,4.658249891162384,18
2020,jardin,G_Centennial,1,R2,2.7737226277372287,18
2020,jardin,G_Centennial,1,R3,3.078677309007986,16
2020,jardin,G_Centennial,2,R1,3.7883343355381953,19
2020,jardin,G_Centennial,3,R1,3.2130107100357037,18
2020,jardin,G_AG.Isioum,1,R1,5.9354390836515165,16
2020,jardin,G_AG.Isioum,1,R2,5.887600356824265,16
2020,jardin,G_AG.Isioum,1,R3,6.316235693090292,16
2020,jardin,G_Big.Red,1,R1,2.725724020442925,16
2020,jardin,G_Big.Red,1,R2,1.9857029388403475,17
2020,jardin,G_Big.Red,2,R1,1.8014835747085982,16
2020,jardin,G_Big.Red,2,R2,2.4285856474569556,15
2020,jardin,G_Big.Red,3,R1,3.14367943325216,17
2020,jardin,G_Big.Red,3,R2,3.407682775712516,16
2020,jardin,G_Superior,1,R1,3.1390134529147957,20
2020,jardin,G_Superior,1,R2,3.41614906832298,18
2020,jardin,G_Chirai.Obak,1,R1,1.8584521384928792,16
2020,jardin,G_Chirai.Obak,1,R2,3.111461205198893,15
2020,jardin,G_Chirai.Obak,2,R1,2.862985685071564,16
2020,jardin,G_Chirai.Obak,2,R2,3.922683342808412,12
2020,jardin,G_Chirai.Obak,3,R1,3.6073329390892894,14
2020,jardin,G_Dawn,1,R1,1.9543973941368051,16
2020,jardin,G_Dawn,1,R2,1.7655047532820305,19
2020,jardin,G_Dawn,1,R3,2.1118721461187135,16
2020,jardin,G_Dawn,2,R1,2.543583881108887,16
2020,jardin,G_Dawn,2,R2,2.593965060878773,17
2020,jardin,G_Dawn,2,R3,2.816901408450704,16
2020,jardin,G_Chaselas.Musque,1,R1,2.3779724655819763,17
2020,jardin,G_Chaselas.Musque,1,R2,4.090267983074767,17
2020,jardin,G_Chaselas.Musque,1,R3,3.803131991051444,18
2020,jardin,G_Chaselas.Musque,2,R1,3.306300686213362,17
2020,jardin,G_Chaselas.Musque,2,R2,3.3149171270718227,16
2020,jardin,G_Chaselas.Musque,2,R3,3.225806451612897,17
2020,jardin,G_Chaselas.Musque,3,R1,2.517564402810308,17
2020,jardin,G_Chaselas.Musque,3,R2,2.593295382669197,18
2020,jardin,G_Queen,1,R1,1.4909478168264059,19
2020,jardin,G_Queen,1,R2,2.969432314410483,19
2020,jardin,G_Queen,2,R1,2.38402061855669,16
2020,jardin,G_Queen,2,R2,3.1040476781723356,15
2020,jardin,G_Queen,2,R3,1.8882466281310144,15
2020,jardin,G_Queen,3,R1,2.9100529100528973,12
2020,jardin,G_Queen,3,R2,3.613651572607637,13
2020,jardin,G_Queen,3,R3,3.1894576012223155,11
2020,jardin,G_Pervenetz,1,R1,4.963041182682161,16
2020,jardin,G_Pervenetz,1,R2,3.7037037037037095,18
