season,family,gid,plant,replicated,P_cluster_weight,soluble_solids
2020,jardin,G_Ilusion,1,R1,222,17
2020,jardin,G_Ilusion,2,R1,211,19
2020,jardin,G_Ilusion,3,R1,90,18
2020,jardin,G_Ilusion,3,R2,98,20
2020,jardin,G_Centennial,1,R1,438,18
2020,jardin,G_Centennial,1,R2,333,18
2020,jardin,G_Centennial,1,R3,170,16
2020,jardin,G_Centennial,2,R1,160,19
2020,jardin,G_Centennial,3,R1,244,18
2020,jardin,G_AG.Isioum,1,R1,271,16
2020,jardin,G_AG.Isioum,1,R2,211,16
2020,jardin,G_AG.Isioum,1,R3,221,16
2020,jardin,G_Big.Red,1,R1,285.5,16
2020,jardin,G_Big.Red,1,R2,246.8,17
2020,jardin,G_Big.Red,2,R1,278,16
2020,jardin,G_Big.Red,2,R2,980.3,15
2020,jardin,G_Big.Red,3,R1,437.5,17
2020,jardin,G_Big.Red,3,R2,155.9,16
2020,jardin,G_Superior,1,R1,345.6,20
2020,jardin,G_Superior,1,R2,186.6,18
2020,jardin,G_Chirai.Obak,1,R1,771,16
2020,jardin,G_Chirai.Obak,1,R2,246,15
2020,jardin,G_Chirai.Obak,2,R1,1045,16
2020,jardin,G_Chirai.Obak,2,R2,676,12
2020,jardin,G_Chirai.Obak,3,R1,652,14
2020,jardin,G_Dawn,1,R1,301,16
2020,jardin,G_Dawn,1,R2,434,19
2020,jardin,G_Dawn,1,R3,343,16
2020,jardin,G_Dawn,2,R1,341,16
2020,jardin,G_Dawn,2,R2,184,17
2020,jardin,G_Dawn,2,R3,138,16
2020,jardin,G_Chaselas.Musque,1,R1,234,17
2020,jardin,G_Chaselas.Musque,1,R2,272,17
2020,jardin,G_Chaselas.Musque,1,R3,301,18
2020,jardin,G_Chaselas.Musque,2,R1,155,17
2020,jardin,G_Chaselas.Musque,2,R2,385,16
2020,jardin,G_Chaselas.Musque,2,R3,171,17
2020,jardin,G_Chaselas.Musque,3,R1,333,17
2020,jardin,G_Chaselas.Musque,3,R2,308,18
2020,jardin,G_Queen,1,R1,647.5,19
2020,jardin,G_Queen,1,R2,333.3,19
2020,jardin,G_Queen,2,R1,303,16
2020,jardin,G_Queen,2,R2,390.2,15
2020,jardin,G_Queen,2,R3,254.6,15
2020,jardin,G_Queen,3,R1,587.2,12
2020,jardin,G_Queen,3,R2,432.1,13
2020,jardin,G_Queen,3,R3,506.9,11
2020,jardin,G_Pervenetz,1,R1,90,16
2020,jardin,G_Pervenetz,1,R2,130,18
2020,jardin,G_Pervenetz,1,R3,100,17
2020,jardin,G_Pervenetz,2,R1,391,19
2020,jardin,G_Pervenetz,2,R2,193,20
2020,jardin,G_Pervenetz,2,R3,188,18
2020,jardin,G_Pervenetz,3,R1,154.2,16
2020,jardin,G_Pervenetz,3,R2,166.2,17
2020,jardin,G_Pervenetz,3,R3,205.6,17
2020,jardin,G_Cardinal,1,R1,204.4,18
2020,jardin,G_Cardinal,1,R2,142.4,17
2020,jardin,G_Cardinal,2,R1,273,17
2020,jardin,G_Cardinal,2,R2,381.4,15
2020,jardin,G_Cardinal,3,R1,240,18
2020,jardin,G_Cardinal,3,R2,310.1,17
2020,jardin,G_Moscatel.Oeiras.Faux,1,R1,238,20
2020,jardin,G_Moscatel.Oeiras.Faux,1,R2,139,17
2020,jardin,G_Moscatel.Oeiras.Faux,2,R1,111,21
2020,jardin,G_Moscatel.Oeiras.Faux,2,R2,145,20
2020,jardin,G_Moscatel.Oeiras.Faux,3,R1,136,20
2020,jardin,G_Moscatel.Oeiras.Faux,3,R2,213,16
2020,jardin,G_Monukka,1,R1,261,16
2020,jardin,G_Monukka,1,R2,365,15
2020,jardin,G_Monukka,2,R1,673,16
2020,jardin,G_Monukka,2,R2,632,16
2020,jardin,G_Assyl.Kara,1,R1,151,16
2020,jardin,G_Assyl.Kara,2,R1,246,14
2020,jardin,G_Assyl.Kara,2,R2,181,13
2020,jardin,G_Assyl.Kara,3,R1,362,11
2020,jardin,G_Assyl.Kara,3,R2,316,12
2020,jardin,G_Beauty,1,R1,144,19
2020,jardin,G_Beauty,1,R2,184,18
2020,jardin,G_Beauty,2,R1,466,19
2020,jardin,G_Beauty,2,R2,561,20
2020,jardin,G_Beauty,2,R3,439,19
2020,jardin,G_Beauty,3,R1,152,21
2020,jardin,G_Beauty,3,R2,364,24
2020,jardin,G_Beauty,3,R3,366,20
2020,jardin,G_Iniagrape.one,2,R1,853.6,20
2020,jardin,G_Iniagrape.one,2,R2,985.2,20
2020,jardin,G_Iniagrape.one,2,R3,1539.3,19
2020,jardin,G_Duc.Magenta,2,R1,135.9,11
2020,jardin,G_Duc.Magenta,2,R2,171.7,12
2020,jardin,G_Duc.Magenta,2,R3,261.8,10
2020,jardin,G_Iniagrape.one,3,R1,1143.8,16
2020,jardin,G_Iniagrape.one,3,R2,891,15
2020,jardin,G_Iniagrape.one,3,R3,573.5,15
2020,jardin,G_Duc.Magenta,3,R1,177.8,14
2020,jardin,G_Duc.Magenta,3,R2,174,14
2020,jardin,G_Duc.Magenta,3,R3,133.2,14
2020,jardin,G_Pletchistik,3,R1,101.9,16
2020,jardin,G_Pletchistik,3,R2,130.7,18
2020,jardin,G_Pletchistik,3,R3,127.9,17
2020,jardin,G_Pletchistik,2,R1,182.1,18
2020,jardin,G_Pletchistik,2,R2,143.9,19
2020,jardin,G_Pletchistik,2,R3,134.9,19
2020,jardin,G_Pletchistik,1,R1,210.5,17
2020,jardin,G_Pletchistik,1,R2,214.1,17
2020,jardin,G_Pletchistik,1,R3,305.5,18
2020,jardin,G_Canner,1,R1,235.4,18
2020,jardin,G_Canner,1,R2,220.1,15
2020,jardin,G_Canner,1,R3,177.8,15
2020,jardin,G_Ruby.Cabernet,2,R1,96.6,14
2020,jardin,G_Ruby.Cabernet,2,R2,74.7,10
2020,jardin,G_Ruby.Cabernet,2,R3,91.6,14
2020,jardin,G_Iniagrape.one,1,R1,1322.4,18
2020,jardin,G_Iniagrape.one,1,R2,1153.2,20
2020,jardin,G_Iniagrape.one,1,R3,900.8,17
2020,jardin,G_Portugais.Bleu,1,R1,205.8,17
2020,jardin,G_Portugais.Bleu,1,R2,253.3,12
2020,jardin,G_Portugais.Bleu,1,R3,262.5,15
2020,jardin,G_23,2,R1,264.5,19
2020,jardin,G_23,2,R2,620.3,18
2020,jardin,G_23,2,R3,531.5,18
2020,jardin,G_23,3,R1,996.8,18
2020,jardin,G_23,3,R2,855.4,18
2020,jardin,G_23,3,R3,600.9,17
2020,jardin,G_Ruby.Cabernet,3,R1,153,14
2020,jardin,G_Ruby.Cabernet,3,R2,153.8,14
2020,jardin,G_July.Muscat,1,R1,279.1,19
2020,jardin,G_July.Muscat,1,R2,471,19
2020,jardin,G_July.Muscat,1,R3,296.7,20
2020,jardin,G_Canner,3,R1,372.5,15
2020,jardin,G_Canner,3,R2,514.5,15
2020,jardin,G_Canner,3,R3,341.3,14
2020,jardin,G_Ruby.Cabernet,1,R1,115.6,14
2020,jardin,G_Ruby.Cabernet,1,R2,140.9,15
2020,jardin,G_July.Muscat,2,R1,447.3,18
2020,jardin,G_July.Muscat,2,R2,537.6,19
2020,jardin,G_July.Muscat,2,R3,184.5,19
2020,jardin,G_Portugais.Bleu,2,R1,244.4,15
2020,jardin,G_Duc.Magenta,1,R1,273.6,14
2020,jardin,G_Duc.Magenta,1,R2,306.5,14
2020,jardin,G_Duc.Magenta,1,R3,435.3,NA
2020,jardin,G_Canner,2,R1,501.4,17
