season,family,gid,plant,replicated,P_rachis_loss,soluble_solids,S_dry
2020,jardin,G_Ilusion,1,R1,74.50980392156863,17,0.04118000000000001
2020,jardin,G_Ilusion,2,R1,71.26436781609195,19,0.05874
2020,jardin,G_Ilusion,3,R1,69.84126984126985,18,0.0519
2020,jardin,G_Ilusion,3,R2,60.638297872340424,20,0.048290000000000007
2020,jardin,G_Centennial,1,R1,40.6060606060606,18,0.005430000000000002
2020,jardin,G_Centennial,1,R2,34.78260869565217,18,0.0033700000000000006
2020,jardin,G_Centennial,1,R3,86.11111111111111,16,0.0017900000000000027
2020,jardin,G_Centennial,2,R1,75,19,0.00252
2020,jardin,G_Centennial,3,R1,72.1311475409836,18,0.0031899999999999984
2020,jardin,G_AG.Isioum,1,R1,34.73684210526316,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R2,43.1578947368421,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R3,47,16,0.031869999999999996
2020,jardin,G_Big.Red,1,R1,7.317073170731704,16,0.01676
2020,jardin,G_Big.Red,1,R2,69.89247311827958,17,0.012030000000000002
2020,jardin,G_Big.Red,2,R1,56.55737704918033,16,0.015460000000000002
2020,jardin,G_Big.Red,2,R2,0,15,0.014879999999999996
2020,jardin,G_Big.Red,3,R1,0,17,0.007789999999999997
2020,jardin,G_Big.Red,3,R2,67.04545454545455,16,0.008610000000000001
2020,jardin,G_Superior,1,R1,0,20,0.01432
2020,jardin,G_Superior,1,R2,52.11267605633803,18,0.007680000000000004
2020,jardin,G_Chirai.Obak,1,R1,44.4043321299639,16,0.04229
2020,jardin,G_Chirai.Obak,1,R2,70.92198581560284,15,0.03904
2020,jardin,G_Chirai.Obak,2,R1,0,16,0.06754
2020,jardin,G_Chirai.Obak,2,R2,24.725274725274726,12,0.06633
2020,jardin,G_Chirai.Obak,3,R1,16.16161616161616,14,0.07635
2020,jardin,G_Dawn,1,R1,58.33333333333334,16,0.00136
2020,jardin,G_Dawn,1,R2,0,19,5.500000000000005e-4
2020,jardin,G_Dawn,1,R3,30.85106382978724,16,0.001429999999999998
2020,jardin,G_Dawn,2,R1,2.8169014084506943,16,0.002360000000000001
2020,jardin,G_Dawn,2,R2,66.66666666666667,17,0.0069799999999999975
2020,jardin,G_Dawn,2,R3,85.15625,16,0.0029899999999999983
2020,jardin,G_Chaselas.Musque,1,R1,15.625,17,0.0581
2020,jardin,G_Chaselas.Musque,1,R2,46.46464646464647,17,0.0638
2020,jardin,G_Chaselas.Musque,1,R3,56.521739130434774,18,0.06928
2020,jardin,G_Chaselas.Musque,2,R1,41.17647058823529,17,0.07733
2020,jardin,G_Chaselas.Musque,2,R2,25.555555555555554,16,0.059660000000000005
2020,jardin,G_Chaselas.Musque,2,R3,55.12820512820513,17,0.07905999999999999
2020,jardin,G_Chaselas.Musque,3,R1,20.2247191011236,17,0.07159
2020,jardin,G_Chaselas.Musque,3,R2,43.298969072164944,18,0.07171999999999999
2020,jardin,G_Queen,1,R1,58.70967741935484,19,0.10093999999999999
2020,jardin,G_Queen,1,R2,66.90140845070422,19,0.10645
2020,jardin,G_Queen,2,R1,80.43478260869566,16,0.09906999999999999
2020,jardin,G_Queen,2,R2,56.97674418604651,15,0.13328
2020,jardin,G_Queen,2,R3,78.57142857142858,15,0.08703999999999999
2020,jardin,G_Queen,3,R1,22.033898305084755,12,0.09968
2020,jardin,G_Queen,3,R2,36.75213675213674,13,0.10268
2020,jardin,G_Queen,3,R3,58.333333333333336,11,0.10383
2020,jardin,G_Pervenetz,1,R1,3.333333333333336,16,0.035460000000000005
2020,jardin,G_Pervenetz,1,R2,0,18,0.03175
2020,jardin,G_Pervenetz,1,R3,18.000000000000007,17,0.026750000000000003
2020,jardin,G_Pervenetz,2,R1,0,19,0.029290000000000004
2020,jardin,G_Pervenetz,2,R2,62.96296296296297,20,0.03926999999999999
2020,jardin,G_Pervenetz,2,R3,34.883720930232556,18,0.025259999999999998
2020,jardin,G_Pervenetz,3,R1,56.55737704918033,16,0.032740000000000005
2020,jardin,G_Pervenetz,3,R2,50,17,0.03397
2020,jardin,G_Pervenetz,3,R3,42.982456140350884,17,0.03085
2020,jardin,G_Cardinal,1,R1,41.935483870967744,18,0.06895
2020,jardin,G_Cardinal,1,R2,78.7878787878788,17,0.10425999999999999
2020,jardin,G_Cardinal,2,R1,35,17,0.07557
2020,jardin,G_Cardinal,2,R2,29.52380952380952,15,0.08736000000000001
2020,jardin,G_Cardinal,3,R1,32,18,0.08331
2020,jardin,G_Cardinal,3,R2,58.01526717557252,17,0.09199
2020,jardin,G_Moscatel.Oeiras.Faux,1,R1,0,20,0.042249999999999996
2020,jardin,G_Moscatel.Oeiras.Faux,1,R2,47.05882352941177,17,0.06524
2020,jardin,G_Moscatel.Oeiras.Faux,2,R1,60.29411764705882,21,0.04442
2020,jardin,G_Moscatel.Oeiras.Faux,2,R2,52.38095238095238,20,0.05193
2020,jardin,G_Moscatel.Oeiras.Faux,3,R1,46.666666666666664,20,0.036559999999999995
2020,jardin,G_Moscatel.Oeiras.Faux,3,R2,27.692307692307686,16,0.06311
2020,jardin,G_Monukka,1,R1,61.71875,16,0.0021500000000000017
2020,jardin,G_Monukka,1,R2,2.985074626865674,15,0.004299999999999998
2020,jardin,G_Monukka,2,R1,17.808219178082187,16,0.003989999999999999
2020,jardin,G_Monukka,2,R2,0,16,0.003210000000000002
2020,jardin,G_Assyl.Kara,1,R1,4.687500000000011,16,0.06146
2020,jardin,G_Assyl.Kara,2,R1,10.416666666666668,14,0.05949
2020,jardin,G_Assyl.Kara,2,R2,25.000000000000007,13,0.04989999999999999
2020,jardin,G_Assyl.Kara,3,R1,0,11,0.06316999999999999
2020,jardin,G_Assyl.Kara,3,R2,0,12,0.05266
2020,jardin,G_Beauty,1,R1,66.11570247933885,19,4.300000000000026e-4
2020,jardin,G_Beauty,1,R2,26.027397260273965,18,3.799999999999998e-4
2020,jardin,G_Beauty,2,R1,54.335260115606935,19,0.0018900000000000028
2020,jardin,G_Beauty,2,R2,11.818181818181824,20,0.0015600000000000002
2020,jardin,G_Beauty,2,R3,52.71317829457365,19,0.0020600000000000037
2020,jardin,G_Beauty,3,R1,35,21,0.001
2020,jardin,G_Beauty,3,R2,36.55913978494624,24,0.0022
2020,jardin,G_Beauty,3,R3,23.129251700680264,20,0.0011700000000000016
2020,jardin,G_Iniagrape.one,2,R1,36.17021276595745,20,0.0029600000000000017
2020,jardin,G_Iniagrape.one,2,R2,41.085271317829466,20,0.0069799999999999975
2020,jardin,G_Iniagrape.one,2,R3,40.22662889518413,19,0.002400000000000002
2020,jardin,G_Duc.Magenta,2,R1,57.4468085106383,11,0.05244
2020,jardin,G_Duc.Magenta,2,R2,46.666666666666664,12,0.06369
2020,jardin,G_Duc.Magenta,2,R3,45.52238805970149,10,0.05987
2020,jardin,G_Iniagrape.one,3,R1,62.640449438202246,16,0.003400000000000003
2020,jardin,G_Iniagrape.one,3,R2,55.73770491803278,15,0.008250000000000002
2020,jardin,G_Iniagrape.one,3,R3,73.61111111111113,15,0.004270000000000001
2020,jardin,G_Duc.Magenta,3,R1,55.10204081632653,14,0.06431
2020,jardin,G_Duc.Magenta,3,R2,64.75409836065575,14,0.07315999999999999
2020,jardin,G_Duc.Magenta,3,R3,58.888888888888886,14,0.08649
2020,jardin,G_Pletchistik,3,R1,65.15151515151516,16,0.04598
2020,jardin,G_Pletchistik,3,R2,54.878048780487795,18,0.06040000000000001
2020,jardin,G_Pletchistik,3,R3,63.74999999999999,17,0.06683000000000001
2020,jardin,G_Pletchistik,2,R1,64.07766990291262,18,0.09256
2020,jardin,G_Pletchistik,2,R2,51.42857142857143,19,0.08926
2020,jardin,G_Pletchistik,2,R3,64.1025641025641,19,0.07862
2020,jardin,G_Pletchistik,1,R1,0,17,0.06456999999999999
2020,jardin,G_Pletchistik,1,R2,6.976744186046508,17,0.08202999999999999
2020,jardin,G_Pletchistik,1,R3,0,18,0.07703
2020,jardin,G_Canner,1,R1,64.36781609195403,18,0.0075
2020,jardin,G_Canner,1,R2,62.31884057971015,15,0.0036600000000000022
2020,jardin,G_Canner,1,R3,81.875,15,0.001429999999999998
2020,jardin,G_Ruby.Cabernet,2,R1,3.703703703703707,14,0.05358
2020,jardin,G_Ruby.Cabernet,2,R2,40.47619047619048,10,0.044320000000000005
2020,jardin,G_Ruby.Cabernet,2,R3,0,14,0.049069999999999996
2020,jardin,G_Iniagrape.one,1,R1,21.428571428571438,18,8.500000000000007e-4
2020,jardin,G_Iniagrape.one,1,R2,20.49689440993789,20,0.012140000000000001
2020,jardin,G_Iniagrape.one,1,R3,29.473684210526315,17,0.004980000000000001
2020,jardin,G_Portugais.Bleu,1,R1,59.74025974025973,17,0.05034000000000001
2020,jardin,G_Portugais.Bleu,1,R2,44.9438202247191,12,0.06172999999999999
2020,jardin,G_Portugais.Bleu,1,R3,34.00000000000001,15,0.06805000000000001
2020,jardin,G_23,2,R1,50,19,0.008590000000000004
2020,jardin,G_23,2,R2,29.192546583850937,18,0.0035899999999999986
2020,jardin,G_23,2,R3,26.7175572519084,18,0.002030000000000004
2020,jardin,G_23,3,R1,18.817204301075275,18,0.0025499999999999967
2020,jardin,G_23,3,R2,0,18,0.003410000000000002
