season,family,gid,plant,replicated,P_rachis_weight,soluble_solids
2020,jardin,G_Ilusion,1,R1,1.3,17
2020,jardin,G_Ilusion,2,R1,2.5,19
2020,jardin,G_Ilusion,3,R1,1.9,18
2020,jardin,G_Ilusion,3,R2,3.7,20
2020,jardin,G_Centennial,1,R1,9.8,18
2020,jardin,G_Centennial,1,R2,6,18
2020,jardin,G_Centennial,1,R3,2.5,16
2020,jardin,G_Centennial,2,R1,2.5,19
2020,jardin,G_Centennial,3,R1,5.1,18
2020,jardin,G_AG.Isioum,1,R1,6.2,16
2020,jardin,G_AG.Isioum,1,R2,5.4,16
2020,jardin,G_AG.Isioum,1,R3,5.3,16
2020,jardin,G_Big.Red,1,R1,7.6,16
2020,jardin,G_Big.Red,1,R2,5.6,17
2020,jardin,G_Big.Red,2,R1,5.3,16
2020,jardin,G_Big.Red,2,R2,19.4,15
2020,jardin,G_Big.Red,3,R1,13.4,17
2020,jardin,G_Big.Red,3,R2,5.8,16
2020,jardin,G_Superior,1,R1,5.1,20
2020,jardin,G_Superior,1,R2,3.4,18
2020,jardin,G_Chirai.Obak,1,R1,15.4,16
2020,jardin,G_Chirai.Obak,1,R2,4.1,15
2020,jardin,G_Chirai.Obak,2,R1,22.7,16
2020,jardin,G_Chirai.Obak,2,R2,13.7,12
2020,jardin,G_Chirai.Obak,3,R1,8.3,14
2020,jardin,G_Dawn,1,R1,4.5,16
2020,jardin,G_Dawn,1,R2,9.7,19
2020,jardin,G_Dawn,1,R3,6.5,16
2020,jardin,G_Dawn,2,R1,6.9,16
2020,jardin,G_Dawn,2,R2,2.4,17
2020,jardin,G_Dawn,2,R3,1.9,16
2020,jardin,G_Chaselas.Musque,1,R1,5.4,17
2020,jardin,G_Chaselas.Musque,1,R2,5.3,17
2020,jardin,G_Chaselas.Musque,1,R3,4,18
2020,jardin,G_Chaselas.Musque,2,R1,3,17
2020,jardin,G_Chaselas.Musque,2,R2,6.7,16
2020,jardin,G_Chaselas.Musque,2,R3,3.5,17
2020,jardin,G_Chaselas.Musque,3,R1,7.1,17
2020,jardin,G_Chaselas.Musque,3,R2,5.5,18
2020,jardin,G_Queen,1,R1,6.4,19
2020,jardin,G_Queen,1,R2,4.7,19
2020,jardin,G_Queen,2,R1,3.6,16
2020,jardin,G_Queen,2,R2,3.7,15
2020,jardin,G_Queen,2,R3,2.1,15
2020,jardin,G_Queen,3,R1,9.2,12
2020,jardin,G_Queen,3,R2,7.4,13
2020,jardin,G_Queen,3,R3,7,11
2020,jardin,G_Pervenetz,1,R1,5.8,16
2020,jardin,G_Pervenetz,1,R2,8.5,18
2020,jardin,G_Pervenetz,1,R3,4.1,17
2020,jardin,G_Pervenetz,2,R1,13.5,19
2020,jardin,G_Pervenetz,2,R2,4,20
2020,jardin,G_Pervenetz,2,R3,5.6,18
2020,jardin,G_Pervenetz,3,R1,5.3,16
2020,jardin,G_Pervenetz,3,R2,5.9,17
2020,jardin,G_Pervenetz,3,R3,6.5,17
2020,jardin,G_Cardinal,1,R1,5.4,18
2020,jardin,G_Cardinal,1,R2,4.2,17
2020,jardin,G_Cardinal,2,R1,6.5,17
2020,jardin,G_Cardinal,2,R2,7.4,15
2020,jardin,G_Cardinal,3,R1,6.8,18
2020,jardin,G_Cardinal,3,R2,5.5,17
2020,jardin,G_Moscatel.Oeiras.Faux,1,R1,5.9,20
2020,jardin,G_Moscatel.Oeiras.Faux,1,R2,3.6,17
2020,jardin,G_Moscatel.Oeiras.Faux,2,R1,2.7,21
2020,jardin,G_Moscatel.Oeiras.Faux,2,R2,3,20
2020,jardin,G_Moscatel.Oeiras.Faux,3,R1,3.2,20
2020,jardin,G_Moscatel.Oeiras.Faux,3,R2,4.7,16
2020,jardin,G_Monukka,1,R1,4.9,16
2020,jardin,G_Monukka,1,R2,6.5,15
2020,jardin,G_Monukka,2,R1,12,16
2020,jardin,G_Monukka,2,R2,17.9,16
2020,jardin,G_Assyl.Kara,1,R1,6.1,16
2020,jardin,G_Assyl.Kara,2,R1,8.6,14
2020,jardin,G_Assyl.Kara,2,R2,6.3,13
2020,jardin,G_Assyl.Kara,3,R1,10.1,11
2020,jardin,G_Assyl.Kara,3,R2,8.9,12
2020,jardin,G_Beauty,1,R1,4.1,19
2020,jardin,G_Beauty,1,R2,5.4,18
2020,jardin,G_Beauty,2,R1,7.9,19
2020,jardin,G_Beauty,2,R2,9.7,20
2020,jardin,G_Beauty,2,R3,6.1,19
2020,jardin,G_Beauty,3,R1,5.2,21
2020,jardin,G_Beauty,3,R2,5.9,24
2020,jardin,G_Beauty,3,R3,11.3,20
2020,jardin,G_Iniagrape.one,2,R1,12,20
2020,jardin,G_Iniagrape.one,2,R2,15.2,20
2020,jardin,G_Iniagrape.one,2,R3,21.1,19
2020,jardin,G_Duc.Magenta,2,R1,4,11
2020,jardin,G_Duc.Magenta,2,R2,4.8,12
2020,jardin,G_Duc.Magenta,2,R3,7.3,10
2020,jardin,G_Iniagrape.one,3,R1,13.3,16
2020,jardin,G_Iniagrape.one,3,R2,10.8,15
2020,jardin,G_Iniagrape.one,3,R3,7.6,15
2020,jardin,G_Duc.Magenta,3,R1,4.4,14
2020,jardin,G_Duc.Magenta,3,R2,4.3,14
2020,jardin,G_Duc.Magenta,3,R3,3.7,14
2020,jardin,G_Pletchistik,3,R1,2.3,16
2020,jardin,G_Pletchistik,3,R2,3.7,18
2020,jardin,G_Pletchistik,3,R3,2.9,17
2020,jardin,G_Pletchistik,2,R1,3.7,18
2020,jardin,G_Pletchistik,2,R2,3.4,19
2020,jardin,G_Pletchistik,2,R3,4.2,19
2020,jardin,G_Pletchistik,1,R1,7.7,17
2020,jardin,G_Pletchistik,1,R2,8,17
2020,jardin,G_Pletchistik,1,R3,7.7,18
2020,jardin,G_Canner,1,R1,3.1,18
2020,jardin,G_Canner,1,R2,2.6,15
2020,jardin,G_Canner,1,R3,2.9,15
2020,jardin,G_Ruby.Cabernet,2,R1,2.6,14
2020,jardin,G_Ruby.Cabernet,2,R2,2.5,10
2020,jardin,G_Ruby.Cabernet,2,R3,3.1,14
2020,jardin,G_Iniagrape.one,1,R1,20.9,18
2020,jardin,G_Iniagrape.one,1,R2,12.8,20
2020,jardin,G_Iniagrape.one,1,R3,13.4,17
2020,jardin,G_Portugais.Bleu,1,R1,3.1,17
2020,jardin,G_Portugais.Bleu,1,R2,4.9,12
2020,jardin,G_Portugais.Bleu,1,R3,3.3,15
2020,jardin,G_23,2,R1,5.1,19
2020,jardin,G_23,2,R2,11.4,18
2020,jardin,G_23,2,R3,9.6,18
2020,jardin,G_23,3,R1,15.1,18
2020,jardin,G_23,3,R2,12.7,18
2020,jardin,G_23,3,R3,7.8,17
2020,jardin,G_Ruby.Cabernet,3,R1,5.1,14
2020,jardin,G_Ruby.Cabernet,3,R2,7.5,14
2020,jardin,G_July.Muscat,1,R1,5.9,19
2020,jardin,G_July.Muscat,1,R2,8.1,19
2020,jardin,G_July.Muscat,1,R3,4.4,20
2020,jardin,G_Canner,3,R1,5.6,15
2020,jardin,G_Canner,3,R2,6.5,15
2020,jardin,G_Canner,3,R3,4.5,14
2020,jardin,G_Ruby.Cabernet,1,R1,5.2,14
2020,jardin,G_Ruby.Cabernet,1,R2,3.4,15
2020,jardin,G_July.Muscat,2,R1,6.4,18
2020,jardin,G_July.Muscat,2,R2,7.4,19
2020,jardin,G_July.Muscat,2,R3,4.5,19
2020,jardin,G_Portugais.Bleu,2,R1,4.3,15
2020,jardin,G_Duc.Magenta,1,R1,6,14
2020,jardin,G_Duc.Magenta,1,R2,6.4,14
2020,jardin,G_Duc.Magenta,1,R3,8.8,NA
2020,jardin,G_Canner,2,R1,7.8,17
2020,jardin,G_Canner,2,R2,3.2,19
2020,jardin,G_Flame,1,R1,3.2,19
2020,jardin,G_Flame,1,R2,3.4,16
2020,jardin,G_Flame,1,R3,6,19
2020,jardin,G_Flame,2,R1,4,17
2020,jardin,G_Flame,2,R2,3.9,19
2020,jardin,G_Flame,2,R3,2,19
2020,jardin,G_Flame,3,R1,3.5,14
2020,jardin,G_Flame,3,R2,4.5,14
2020,jardin,G_Flame,3,R3,4.4,16
2020,jardin,G_Black,1,R1,6.5,16
2020,jardin,G_Black,1,R2,4,16
2020,jardin,G_Black,1,R3,3.4,16
2020,jardin,G_Magdalena,1,R1,6.1,16
2020,jardin,G_Magdalena,1,R2,4.4,15
2020,jardin,G_Magdalena,1,R3,2.9,16
2020,jardin,G_Magdalena,2,R1,3.8,15
2020,jardin,G_Magdalena,2,R2,4.5,16
2020,jardin,G_Magdalena,2,R3,3.8,16
2020,jardin,G_Magdalena,3,R1,2.9,16
2020,jardin,G_Magdalena,3,R2,5.3,16
2020,jardin,G_Magdalena,3,R3,2.6,16
2020,jardin,G_Orbois,1,R1,0.9,17
2020,jardin,G_Orbois,1,R2,2,18
2020,jardin,G_Orbois,1,R3,2.7,18
2020,jardin,G_Orbois,2,R1,2.4,10
2020,jardin,G_Orbois,2,R2,1.6,17
2020,jardin,G_Orbois,2,R3,2.1,15
2020,jardin,G_Orbois,3,R1,1.3,20
2020,jardin,G_Orbois,3,R2,1.4,20
2020,jardin,G_Orbois,3,R3,1.5,20
2020,jardin,G_Verdot,1,R1,2.7,18
2020,jardin,G_Verdot,1,R2,4.4,18
2020,jardin,G_Verdot,1,R3,3.3,17
2020,jardin,G_Verdot,2,R1,3.3,18
2020,jardin,G_Verdot,2,R2,2.3,18
2020,jardin,G_Verdot,2,R3,3.1,18
2020,jardin,G_Verdot,3,R1,2.4,16
2020,jardin,G_Verdot,3,R2,2.6,17
2020,jardin,G_Verdot,3,R3,4.2,19
2020,jardin,G_Lameiro,1,R1,4.2,16
2020,jardin,G_Lameiro,1,R2,2.3,18
2020,jardin,G_Lameiro,1,R3,3,16
2020,jardin,G_Lameiro,2,R1,6.1,14
2020,jardin,G_Lameiro,2,R2,4.7,18
2020,jardin,G_Lameiro,2,R3,6.8,18
2020,jardin,G_Lameiro,3,R1,3.2,19
2020,jardin,G_Lameiro,3,R2,3.9,19
2020,jardin,G_Lameiro,3,R3,3.7,19
2020,jardin,G_Kyoho,1,R1,3.4,16
2020,jardin,G_Kyoho,1,R2,4.5,17
2020,jardin,G_Kyoho,1,R3,2.7,18
2020,jardin,G_Kyoho,2,R1,5.3,16
2020,jardin,G_Kyoho,2,R2,1.9,16
2020,jardin,G_Kyoho,2,R3,5.4,17
2020,jardin,G_Kyoho,3,R1,3.1,18
2020,jardin,G_Kyoho,3,R2,4,17
2020,jardin,G_Kyoho,3,R3,3.1,18
2020,jardin,G_Red.Globe,1,R1,3.8,10
2020,jardin,G_Red.Globe,1,R2,9.5,12
2020,jardin,G_Red.Globe,1,R3,5.6,11
2020,jardin,G_Red.Globe,2,R1,4.2,15
2020,jardin,G_Red.Globe,2,R2,3.2,16
2020,jardin,G_Red.Globe,2,R3,4.2,14
2020,jardin,G_Red.Globe,3,R1,2.2,17
2020,jardin,G_Red.Globe,3,R2,2.1,16
2020,jardin,G_Red.Globe,3,R3,3.3,18
2020,jardin,G_Fue.Fuki,1,R1,6.6,21
2020,jardin,G_Fue.Fuki,1,R2,6.6,19
2020,jardin,G_Fue.Fuki,1,R3,3.3,20
2020,jardin,G_Fue.Fuki,2,R1,2.1,17
2020,jardin,G_Fue.Fuki,2,R2,3.1,17
2020,jardin,G_Fue.Fuki,2,R3,2.1,17
2020,jardin,G_Fue.Fuki,3,R1,1.3,18
2020,jardin,G_Fue.Fuki,3,R2,1.4,18
2020,jardin,G_Chouchillon,1,R1,10.7,15
2020,jardin,G_Chouchillon,1,R2,10.9,14
2020,jardin,G_Chouchillon,1,R3,4.1,15
2020,jardin,G_Patagonia,1,R1,3,17
2020,jardin,G_Patagonia,1,R2,6.9,16
2020,jardin,G_Patagonia,1,R3,6.4,17
2020,jardin,G_Patagonia,2,R1,2.7,18
2020,jardin,G_Patagonia,3,R1,3.4,19
2020,jardin,G_Patagonia,3,R2,5.5,19
2020,jardin,G_Bogazkere,1,R1,3.4,16
2020,jardin,G_Bogazkere,1,R2,2.5,16
2020,jardin,G_Bogazkere,1,R3,2.6,15
2020,jardin,G_Bogazkere,2,R1,2.2,16
2020,jardin,G_Bogazkere,2,R2,2.6,15
