season,family,gid,plant,replicated,S_dry
2020,jardin,G_Centennial,1,R1,0.005430000000000002
2020,jardin,G_Centennial,1,R2,0.0033700000000000006
2020,jardin,G_Centennial,1,R3,0.0017900000000000027
2020,jardin,G_Centennial,2,R1,0.00252
2020,jardin,G_Centennial,2,R2,1.5000000000000012e-4
2020,jardin,G_Centennial,3,R1,0.0031899999999999984
2020,jardin,G_Centennial,3,R2,0.0010099999999999998
2020,jardin,G_AG.Isioum,1,R1,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R2,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R3,0.031869999999999996
2020,jardin,G_Csaba.Gyangye,1,R1,0.027340000000000003
2020,jardin,G_Csaba.Gyangye,1,R2,0.029220000000000003
2020,jardin,G_Csaba.Gyangye,2,R1,0.023299999999999994
2020,jardin,G_Csaba.Gyangye,2,R2,0.017230000000000002
2020,jardin,G_Csaba.Gyangye,2,R3,0.03821
2020,jardin,G_Csaba.Gyangye,3,R1,0.026630000000000004
2020,jardin,G_Ilusion,1,R1,0.04118000000000001
2020,jardin,G_Ilusion,1,R2,0.04969
2020,jardin,G_Ilusion,2,R1,0.05874
2020,jardin,G_Ilusion,2,R2,0.07061999999999999
2020,jardin,G_Ilusion,2,R3,0.04093
2020,jardin,G_Ilusion,3,R1,0.0519
2020,jardin,G_Ilusion,3,R2,0.048290000000000007
2020,jardin,G_Ilusion,3,R3,0.06570000000000001
2020,jardin,G_Chirai.Obak,1,R1,0.04229
2020,jardin,G_Chirai.Obak,1,R2,0.03904
2020,jardin,G_Chirai.Obak,1,R3,0.06966
2020,jardin,G_Chirai.Obak,2,R1,0.06754
2020,jardin,G_Chirai.Obak,2,R2,0.06633
2020,jardin,G_Chirai.Obak,2,R3,0.06421
2020,jardin,G_Chirai.Obak,3,R1,0.07635
2020,jardin,G_Chirai.Obak,3,R2,0.061349999999999995
2020,jardin,G_Chirai.Obak,3,R3,0.06058
2020,jardin,G_Big.Red,1,R1,0.01676
2020,jardin,G_Big.Red,1,R2,0.012030000000000002
2020,jardin,G_Big.Red,1,R3,0.007949999999999995
2020,jardin,G_Big.Red,2,R1,0.015460000000000002
2020,jardin,G_Big.Red,2,R2,0.014879999999999996
2020,jardin,G_Big.Red,2,R3,0.01971
2020,jardin,G_Big.Red,3,R1,0.007789999999999997
2020,jardin,G_Big.Red,3,R2,0.008610000000000001
2020,jardin,G_Big.Red,3,R3,0.007980000000000004
2020,jardin,G_Chaselas.Musque,1,R1,0.0581
2020,jardin,G_Chaselas.Musque,1,R2,0.0638
2020,jardin,G_Chaselas.Musque,1,R3,0.06928
2020,jardin,G_Chaselas.Musque,2,R1,0.07733
2020,jardin,G_Chaselas.Musque,2,R2,0.059660000000000005
2020,jardin,G_Chaselas.Musque,2,R3,0.07905999999999999
2020,jardin,G_Chaselas.Musque,3,R1,0.07159
2020,jardin,G_Chaselas.Musque,3,R2,0.07171999999999999
2020,jardin,G_Chaselas.Musque,3,R3,0.07704000000000001
2020,jardin,G_Superior,1,R1,0.01432
2020,jardin,G_Superior,1,R2,0.007680000000000004
2020,jardin,G_Superior,2,R1,0.005909999999999999
2020,jardin,G_Superior,2,R2,0.007869999999999999
2020,jardin,G_Superior,2,R3,0.004970000000000002
2020,jardin,G_Dawn,1,R1,0.00136
2020,jardin,G_Dawn,1,R2,5.500000000000005e-4
2020,jardin,G_Dawn,1,R3,0.001429999999999998
2020,jardin,G_Dawn,2,R1,0.002360000000000001
2020,jardin,G_Dawn,2,R2,0.0069799999999999975
2020,jardin,G_Dawn,2,R3,0.0029899999999999983
2020,jardin,G_Queen,1,R1,0.10093999999999999
2020,jardin,G_Queen,1,R2,0.10645
2020,jardin,G_Queen,1,R3,0.09992999999999999
2020,jardin,G_Queen,2,R1,0.09906999999999999
2020,jardin,G_Queen,2,R2,0.13328
2020,jardin,G_Queen,2,R3,0.08703999999999999
2020,jardin,G_Queen,3,R1,0.09968
2020,jardin,G_Queen,3,R2,0.10268
2020,jardin,G_Queen,3,R3,0.10383
2020,jardin,G_Monukka,1,R1,0.0021500000000000017
2020,jardin,G_Monukka,1,R2,0.004299999999999998
2020,jardin,G_Monukka,1,R3,0.0020600000000000006
2020,jardin,G_Monukka,2,R1,0.003989999999999999
2020,jardin,G_Monukka,2,R2,0.003210000000000002
2020,jardin,G_Monukka,2,R3,0.0010999999999999955
2020,jardin,G_Pervenetz,1,R1,0.035460000000000005
2020,jardin,G_Pervenetz,1,R2,0.03175
2020,jardin,G_Pervenetz,1,R3,0.026750000000000003
2020,jardin,G_Pervenetz,2,R1,0.029290000000000004
2020,jardin,G_Pervenetz,2,R2,0.03926999999999999
2020,jardin,G_Pervenetz,2,R3,0.025259999999999998
2020,jardin,G_Pervenetz,3,R1,0.032740000000000005
2020,jardin,G_Pervenetz,3,R2,0.03397
2020,jardin,G_Pervenetz,3,R3,0.03085
2020,jardin,G_Beauty,1,R1,4.300000000000026e-4
2020,jardin,G_Beauty,1,R2,3.799999999999998e-4
2020,jardin,G_Beauty,1,R3,7.399999999999962e-4
2020,jardin,G_Beauty,2,R1,0.0018900000000000028
2020,jardin,G_Beauty,2,R2,0.0015600000000000002
2020,jardin,G_Beauty,2,R3,0.0020600000000000037
2020,jardin,G_Beauty,3,R1,0.001
2020,jardin,G_Beauty,3,R2,0.0022
2020,jardin,G_Beauty,3,R3,0.0011700000000000016
2020,jardin,G_Cardinal,1,R1,0.06895
2020,jardin,G_Cardinal,1,R2,0.10425999999999999
2020,jardin,G_Cardinal,1,R3,0.08612
2020,jardin,G_Cardinal,2,R1,0.07557
2020,jardin,G_Cardinal,2,R2,0.08736000000000001
2020,jardin,G_Cardinal,2,R3,0.09609999999999999
2020,jardin,G_Cardinal,3,R1,0.08331
2020,jardin,G_Cardinal,3,R2,0.09199
2020,jardin,G_Cardinal,3,R3,0.048429999999999994
2020,jardin,G_Assyl.Kara,1,R1,0.06146
2020,jardin,G_Assyl.Kara,1,R2,0.041139999999999996
2020,jardin,G_Assyl.Kara,1,R3,0.06074
2020,jardin,G_Assyl.Kara,2,R1,0.05949
2020,jardin,G_Assyl.Kara,2,R2,0.04989999999999999
2020,jardin,G_Assyl.Kara,2,R3,0.052590000000000005
2020,jardin,G_Assyl.Kara,3,R1,0.06316999999999999
2020,jardin,G_Assyl.Kara,3,R2,0.05266
2020,jardin,G_Assyl.Kara,3,R3,0.06466999999999999
2020,jardin,G_Moscatel.Oeiras.Faux,1,R1,0.042249999999999996
2020,jardin,G_Moscatel.Oeiras.Faux,1,R2,0.06524
2020,jardin,G_Moscatel.Oeiras.Faux,1,R3,0.057010000000000005
2020,jardin,G_Moscatel.Oeiras.Faux,2,R1,0.04442
2020,jardin,G_Moscatel.Oeiras.Faux,2,R2,0.05193
2020,jardin,G_Moscatel.Oeiras.Faux,2,R3,0.04289
2020,jardin,G_Moscatel.Oeiras.Faux,3,R1,0.036559999999999995
2020,jardin,G_Moscatel.Oeiras.Faux,3,R2,0.06311
2020,jardin,G_Moscatel.Oeiras.Faux,3,R3,0.04933
2020,jardin,G_Iniagrape.one,1,R1,8.500000000000007e-4
2020,jardin,G_Iniagrape.one,1,R2,0.012140000000000001
2020,jardin,G_Iniagrape.one,1,R3,0.004980000000000001
2020,jardin,G_Iniagrape.one,2,R1,0.0029600000000000017
2020,jardin,G_Iniagrape.one,2,R2,0.0069799999999999975
2020,jardin,G_Iniagrape.one,2,R3,0.002400000000000002
2020,jardin,G_Iniagrape.one,3,R1,0.003400000000000003
2020,jardin,G_Iniagrape.one,3,R2,0.008250000000000002
2020,jardin,G_Iniagrape.one,3,R3,0.004270000000000001
2020,jardin,G_23,1,R1,0.004270000000000001
2020,jardin,G_23,1,R2,0.0061299999999999966
2020,jardin,G_23,1,R3,0.0025900000000000033
2020,jardin,G_23,2,R1,0.008590000000000004
2020,jardin,G_23,2,R2,0.0035899999999999986
2020,jardin,G_23,2,R3,0.002030000000000004
2020,jardin,G_23,3,R1,0.0025499999999999967
2020,jardin,G_23,3,R2,0.003410000000000002
2020,jardin,G_23,3,R3,0.0021199999999999995
2020,jardin,G_Duc.Magenta,1,R1,0.0576
2020,jardin,G_Duc.Magenta,1,R2,0.08582999999999999
2020,jardin,G_Duc.Magenta,2,R1,0.05244
2020,jardin,G_Duc.Magenta,2,R2,0.06369
2020,jardin,G_Duc.Magenta,2,R3,0.05987
2020,jardin,G_Duc.Magenta,3,R1,0.06431
2020,jardin,G_Duc.Magenta,3,R2,0.07315999999999999
2020,jardin,G_Duc.Magenta,3,R3,0.08649
2020,jardin,G_Pletchistik,1,R1,0.06456999999999999
2020,jardin,G_Pletchistik,1,R2,0.08202999999999999
2020,jardin,G_Pletchistik,1,R3,0.07703
2020,jardin,G_Pletchistik,2,R1,0.09256
2020,jardin,G_Pletchistik,2,R2,0.08926
2020,jardin,G_Pletchistik,2,R3,0.07862
2020,jardin,G_Pletchistik,3,R1,0.04598
2020,jardin,G_Pletchistik,3,R2,0.06040000000000001
2020,jardin,G_Pletchistik,3,R3,0.06683000000000001
2020,jardin,G_Canner,1,R1,0.0075
2020,jardin,G_Canner,1,R2,0.0036600000000000022
2020,jardin,G_Canner,1,R3,0.001429999999999998
2020,jardin,G_Canner,2,R1,0.002190000000000003
2020,jardin,G_Canner,2,R2,0.002210000000000001
2020,jardin,G_Canner,2,R3,0.00131
2020,jardin,G_Canner,3,R1,0.001050000000000001
2020,jardin,G_Canner,3,R2,2.7999999999999694e-4
