Trait,Scheme,rmseFm1,rmseFm2,rmseFm3
SA,0/12,1.4928279023761593,1.4897828926288432,1.5421873926424303
SA,0/16,1.4387001362923135,1.4357072726103985,1.4325859335299105
SA,0/20,1.4499279338664752,1.4360946594057502,1.4377860605761452
SA,0/24,1.4564415824198689,1.4475457342206233,1.4388070956678
SA,0/28,1.4268265391654469,1.4196127893680948,1.4207726239310654
SA,0/31,1.422098418576697,1.417983259487722,1.4133257013058806
SA,12/0,1.3960314303477133,1.347389839395933,1.3472887365322983
SA,12/12,1.3678661056714858,1.340599178081149,1.3467440130862953
SA,12/16,1.3647093362915825,1.338427768524622,1.331346230721054
SA,12/19,1.3583038957468732,1.3362643706036388,1.3348549464171233
SA,12/4,1.3792743593475916,1.335347115104805,1.3300621788446454
SA,12/8,1.3747649166731475,1.348396658231302,1.3514339666738429
SA,16/0,1.3474355015152153,1.2369699554002647,1.268772629045925
SA,16/12,1.3104707401481137,1.2246786584142133,1.258485484672632
SA,16/15,1.301730628679152,1.2176836281597827,1.2433850113350409
SA,16/4,1.3425196878422276,1.2509010027112208,1.2922061707546373
SA,16/8,1.32341689837185,1.2289932421728136,1.2491708854883794
SA,20/0,1.3200842710537393,1.1810038915507706,1.1889619227428194
SA,20/11,1.2502588639241488,1.1416702604939457,1.1764588556013633
SA,20/4,1.2734450344724881,1.1593432925688547,1.1728313033478688
SA,20/8,1.2820530895573286,1.1534677463916696,1.2314821300206693
SA,24/0,1.2604360870626763,1.1735591381640051,1.1555644573673256
SA,24/4,1.2417910654618987,1.1414329027047452,1.1783205728077106
SA,24/7,1.214141780077074,1.1220952464584513,1.1283244065749678
SA,28/0,1.2049750843763993,1.1694843495119336,1.115723221073278
SA,28/3,1.1586466293291926,1.114843891108387,1.080797196784528
SA,31/0,1.1795696275170857,1.181658174867213,1.1099334346637795
SA,4/12,1.4467479080315158,1.4451359912657713,1.4501500639885396
SA,4/16,1.43818327098043,1.4361939391141616,1.4300933414186183
SA,4/20,1.4317341742464322,1.4336638406247382,1.4289274055076018
SA,4/24,1.4219925432719753,1.4173187324305154,1.4169472530515106
SA,4/27,1.4126478205872508,1.410569455140639,1.4081705463622147
SA,4/8,1.4740842327608887,1.465579942809384,1.463172701378047
SA,8/12,1.4068096371580459,1.3994703937892583,1.4000194669787085
SA,8/16,1.4071334971411757,1.3966334173672483,1.3977673393692136
SA,8/20,1.408836285896465,1.398823172069234,1.3904481788686194
SA,8/23,1.400127707986131,1.3887591351302686,1.3839591549423187
SA,8/4,1.4156799670128188,1.3971904766359933,1.4003678301444857
SA,8/8,1.4214957333661027,1.4196803707601444,1.409623318146442
TCH,0/12,16.887911717470125,17.365766053949447,16.859405823980627
TCH,0/16,16.621617702625073,16.535536133753265,16.50450562507092
TCH,0/20,16.65046100199517,16.51586626501861,16.533463630127528
TCH,0/24,16.674502540755363,16.57455349805815,16.65052184668353
TCH,0/28,16.532534413618095,16.473539295204123,16.471503551601682
TCH,0/31,16.555828320423778,16.54826734721696,16.49028747301847
TCH,12/0,18.660296609073562,18.522079150162835,17.46253863067755
TCH,12/12,17.032411957649316,17.042060613858382,16.876741083358034
TCH,12/16,17.052006072115034,16.96272300105109,16.727835860198816
TCH,12/19,16.946200588561297,16.901728069149023,16.841504341145015
TCH,12/4,17.660417113401973,17.603038317674603,17.005339844120574
TCH,12/8,17.13274380222624,17.138462814546692,16.938168700579194
TCH,16/0,18.369489521380707,18.116233675890022,16.958573884531777
TCH,16/12,17.32074089928178,17.11140906273504,16.821054162151633
TCH,16/15,17.17742338847748,16.949330573831027,16.652452039629594
TCH,16/4,17.80822811225387,17.63348801756264,16.89162729754149
TCH,16/8,17.55807401757199,17.332781429943665,16.830492569817835
TCH,20/0,18.264999632814355,18.11610533840253,16.498412235575234
TCH,20/11,17.165685359363543,17.0299382947331,16.402092839164492
TCH,20/4,18.072836100872806,17.786975790623178,16.613210667962342
TCH,20/8,17.732213872580417,17.57556998914363,16.813823883788572
TCH,24/0,18.0098653342927,17.727108772878864,16.110909150661715
TCH,24/4,17.875537886985054,17.770627206793964,16.510849248626677
TCH,24/7,16.707910225087314,16.66254197408767,15.982902329614472
TCH,28/0,18.06651277368653,17.61854693433444,16.160641131419347
TCH,28/3,16.811968009625936,16.858390573117312,15.964062333319287
TCH,31/0,18.04660059197956,17.75630763284794,16.197711954822104
TCH,4/12,16.625757573831525,16.74399151691238,16.44902727887809
TCH,4/16,16.732226626310403,16.761500901155927,16.617681411265846
TCH,4/20,16.68485240061017,16.69155434974083,16.47422145629804
TCH,4/24,16.62118612830768,16.546740331068438,16.489108159881443
TCH,4/27,16.63123784047798,16.63749302667426,16.49767829663505
TCH,4/8,17.33092284655996,17.506749268177778,16.955785501902863
TCH,8/12,16.9468268910224,16.945588036107274,16.784991491770267
TCH,8/16,16.873474022551218,16.904736596928753,16.70930796311581
TCH,8/20,16.760038003720368,16.738750182407443,16.570982890489987
TCH,8/23,16.83533229436174,16.795935056369157,16.660706313548552
TCH,8/4,17.914816046431906,17.87657159268047,17.04952642268067
TCH,8/8,16.841364400009454,16.86220693227907,16.683448727234435
