Trait,Scheme,EID,n,rFm1,rFm2,rFm3
SA,0/12,Balsora_2016,155,-0.12248282387641625,0.17412334975413812,0.2466575167101296
SA,0/12,Balsora_2017,155,-0.08837206204557431,0.16776156956752303,0.30717843959769536
SA,0/12,Porvenir_2020,155,-0.0450466895151489,0.0380519792139618,0.30087251762536216
SA,0/12,Porvenir_2021,155,-0.12216427529997263,0.1371744404788525,0.1110241204834294
SA,0/12,Taula_2018,155,0.024262035126087024,0.009720465606343986,-0.06511179381282231
SA,0/12,Taula_2019,155,-0.11701011131266939,0.11381953992736332,-0.06493449512881456
SA,0/16,Balsora_2016,155,-0.12800060262172494,0.19009771997670094,0.28286052532195544
SA,0/16,Balsora_2017,155,-0.11957896995980036,0.166890581726712,0.27543210423787995
SA,0/16,Porvenir_2020,155,-0.019222004838229393,0.2142217230524742,-0.21133914437034798
SA,0/16,Porvenir_2021,155,0.025928531136513517,0.16815582064191809,0.0218610909743442
SA,0/16,Taula_2018,155,-0.04983764157396932,0.1750204706852007,0.08061593841724728
SA,0/16,Taula_2019,155,-0.14305255351357438,0.19478760648151594,0.040398729434245384
SA,0/20,Balsora_2016,155,-0.08761018220253401,0.18983581534995084,0.11240181472183075
SA,0/20,Balsora_2017,155,-0.05546572225353988,0.24218045317017411,0.29194158248810625
SA,0/20,Porvenir_2020,155,0.03271009003537699,0.15422070210340572,0.11576575031519165
SA,0/20,Porvenir_2021,155,-0.03043347574866333,0.10435348836513475,-0.048119163354229944
SA,0/20,Taula_2018,155,-0.04163660192895082,0.18301819600940245,0.05112961981562689
SA,0/20,Taula_2019,155,-0.08020411004023593,0.11378670109701446,-0.07491603811516642
SA,0/24,Balsora_2016,155,0.0045385991232645235,0.10505564032389746,0.1325400253901696
SA,0/24,Balsora_2017,155,-0.005842431271251815,0.09493810055986635,0.27646774108474137
SA,0/24,Porvenir_2020,155,0.04914842094909466,0.10771473330048104,0.12419169662419882
SA,0/24,Porvenir_2021,155,0.07343504140443802,0.08780876782105686,0.03821230121183259
SA,0/24,Taula_2018,155,0.03946463180410059,0.11653499371886293,0.045067153717979785
SA,0/24,Taula_2019,155,-0.02554731910905366,0.06678891061373762,0.0805035350575763
SA,0/28,Balsora_2016,155,-0.0880276793731695,0.1760007866555035,0.21321274047211383
SA,0/28,Balsora_2017,155,-0.013016205892507293,0.14564509434383047,0.1397756724376434
SA,0/28,Porvenir_2020,155,-0.09919662179895063,0.09802499482835235,-0.1981983812487758
SA,0/28,Porvenir_2021,155,-0.10031828961329439,0.093918253471661,-0.012547690927380397
SA,0/28,Taula_2018,155,-0.03195953988153199,0.17222332209110922,0.1259281050164338
SA,0/28,Taula_2019,155,-0.053139578920507864,0.12587461422645493,0.006412357358534295
SA,0/31,Balsora_2016,155,0.1392235024208827,0.12522051344060728,0.2172207062940475
SA,0/31,Balsora_2017,155,0.07009142816997062,0.14491686953440652,0.09775192533934725
SA,0/31,Porvenir_2020,155,-0.04222939743414395,0.06529421227283208,-0.06438426535814126
SA,0/31,Porvenir_2021,155,0.1559786218930996,0.07910178275225307,-0.07623708838148223
SA,0/31,Taula_2018,155,0.03069807804744051,0.12374743442989442,0.16361606386422878
SA,0/31,Taula_2019,155,0.013704310846846984,0.09321486299419213,0.07001049727492721
SA,12/0,Balsora_2016,155,0.3911945552865999,0.47189862495621726,0.4582361355639653
SA,12/0,Balsora_2017,155,0.3335779514603709,0.41858332564879974,0.4426270284940339
SA,12/0,Porvenir_2020,155,0.2528377329594942,0.34090923588441757,0.31391577925788844
SA,12/0,Porvenir_2021,155,0.2683477527984107,0.34308441651756755,0.2988603069619108
SA,12/0,Taula_2018,155,0.23616377288739945,0.30478556709956406,0.3264049750822853
SA,12/0,Taula_2019,155,0.29381213951979346,0.3800272372768094,0.5312356798965655
SA,12/12,Balsora_2016,155,0.4007678622670704,0.4878168422250986,0.4387826995158735
SA,12/12,Balsora_2017,155,0.34626678765210017,0.4343437116968361,0.4075272250934538
SA,12/12,Porvenir_2020,155,0.26983285570579496,0.3506358975547821,0.2930702807294365
SA,12/12,Porvenir_2021,155,0.28788655293872584,0.34773412238359386,0.29106406956403025
SA,12/12,Taula_2018,155,0.2391670741607564,0.30463391974853055,0.31552799942549786
SA,12/12,Taula_2019,155,0.3092517719526354,0.4010925744832802,0.5052908985080742
SA,12/16,Balsora_2016,155,0.37739242955372826,0.46047206037654625,0.4612598108762533
SA,12/16,Balsora_2017,155,0.3183433535241881,0.39987969626908926,0.3838757788284355
SA,12/16,Porvenir_2020,155,0.24538432255465215,0.3168806980374807,0.26431049485447505
SA,12/16,Porvenir_2021,155,0.30273686352702034,0.34204334822196675,0.32501726993394064
SA,12/16,Taula_2018,155,0.23139289567898072,0.29694574493025194,0.3438568359262303
SA,12/16,Taula_2019,155,0.3262583752674949,0.39359926231651254,0.525095455804933
SA,12/19,Balsora_2016,155,0.40012903356902413,0.4831984100745351,0.46627136851015366
SA,12/19,Balsora_2017,155,0.340933779336254,0.4311013180476885,0.35176367413928994
SA,12/19,Porvenir_2020,155,0.2655149049778735,0.3369479264262517,0.26614050418381713
SA,12/19,Porvenir_2021,155,0.30517500000877407,0.3453268487605419,0.27755371991272804
SA,12/19,Taula_2018,155,0.24223479082261057,0.2967262717526266,0.33177307481362683
SA,12/19,Taula_2019,155,0.3189650874806127,0.394993373863932,0.545327178827961
SA,12/4,Balsora_2016,155,0.37595606252222274,0.4790095537515053,0.44104494250047444
SA,12/4,Balsora_2017,155,0.310287702309698,0.4158842336040754,0.39605077539299605
SA,12/4,Porvenir_2020,155,0.24535669382055417,0.3453653631572137,0.31133779055442995
SA,12/4,Porvenir_2021,155,0.2894365939706569,0.3653340748400414,0.3194912443104012
SA,12/4,Taula_2018,155,0.23706192674409624,0.29857580819225116,0.32461041969692694
SA,12/4,Taula_2019,155,0.314090695994502,0.41816609708942776,0.5025055560224513
SA,12/8,Balsora_2016,155,0.3918572622304225,0.4777598456163544,0.4350729475378727
SA,12/8,Balsora_2017,155,0.3392644957219927,0.42515180602799246,0.39667076475945656
SA,12/8,Porvenir_2020,155,0.26818718544390713,0.3524310581327295,0.2731480016359011
SA,12/8,Porvenir_2021,155,0.28938553427891284,0.3480895577839085,0.27001829488226514
SA,12/8,Taula_2018,155,0.24454442862413792,0.28743128672076235,0.3270576808401163
SA,12/8,Taula_2019,155,0.3091673637420363,0.3868330572254503,0.5294365705473149
SA,16/0,Balsora_2016,155,0.47911127013350036,0.6471305058446315,0.58671485761007
SA,16/0,Balsora_2017,155,0.43456524218795617,0.5864902964059947,0.549429752892499
SA,16/0,Porvenir_2020,155,0.4148544033275437,0.5601884262777985,0.5213406199317927
SA,16/0,Porvenir_2021,155,0.3463632871217032,0.46108215015391874,0.42780891034148083
SA,16/0,Taula_2018,155,0.3504529015604084,0.4312891116551242,0.45615397196213986
SA,16/0,Taula_2019,155,0.3446843727724621,0.5369271829002565,0.682079549715097
SA,16/12,Balsora_2016,155,0.4889888017290728,0.6664272858304875,0.5816499442162449
SA,16/12,Balsora_2017,155,0.43754472597849553,0.6040094370540193,0.5196080874833239
SA,16/12,Porvenir_2020,155,0.4186338572460272,0.5580850762611645,0.4857010744398706
