Year,Env,Location,Trial,Rep,Row,Col,GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1,cov.Height,cov.Anthesis,cov.AEAR
2020,BOKU,Tulln,2020.Tulln,1,5,3,TS074,1348.4288541544993,4.56566213599924,397.1145833200002,3,85,2020-05-20,0.86
2020,BOKU,Tulln,2020.Tulln,1,6,3,TS147,9785.327603347494,12.370465195792626,247.50312499999995,50,85,2020-05-30,2.14
2020,BOKU,Tulln,2020.Tulln,1,7,3,TS097,21885.124998599982,15.075446643102742,187.80972221666676,90,85,2020-06-05,6
2020,BOKU,Tulln,2020.Tulln,1,8,3,TS059,8942.695467982496,12.370465195792626,273.58385416500005,40,95,2020-05-30,5.57
2020,BOKU,Tulln,2020.Tulln,1,9,3,TS210,8452.204166062998,9.867158796707749,321.37351188999986,25,90,2020-06-05,1.29
2020,BOKU,Tulln,2020.Tulln,1,10,3,TS219,19747.98176952498,14.8868389607498,193.49810605545463,90,80,2020-06-05,4.71
2020,BOKU,Tulln,2020.Tulln,1,11,3,TS156,9177.55598917748,15.803915664598483,258.8961805466669,30,80,2020-05-28,6.86
2020,BOKU,Tulln,2020.Tulln,1,12,3,TS168,3551.5183334804924,12.310883459883405,299.8988425811112,10,85,2020-05-24,2.57
2020,BOKU,Tulln,2020.Tulln,1,13,3,TS126,9320.074217880496,12.370465195792626,264.89027777666666,40,85,2020-05-30,7.71
2020,BOKU,Tulln,2020.Tulln,1,14,3,TS107,10135.428384480496,13.539653506589165,260.5434895825,40,95,2020-05-30,7.29
2020,BOKU,Tulln,2020.Tulln,1,15,3,TS026,7648.329426702482,14.590176601767135,269.3248842511113,25,90,2020-05-28,4.29
2020,BOKU,Tulln,2020.Tulln,1,16,3,TS178,7404.936197527483,14.590176601767135,271.4106249920002,20,85,2020-05-28,2.57
2020,BOKU,Tulln,2020.Tulln,1,17,3,TS202,17490.161457159986,12.605852680230731,200.32416666200007,80,90,2020-06-05,2.14
2020,BOKU,Tulln,2020.Tulln,1,18,3,TS053,2566.5545312324984,9.07406736052347,313.0677083200003,5,80,2020-05-20,0.86
2020,BOKU,Tulln,2020.Tulln,1,18,4,TS104,10349.13619754748,14.590176601767135,243.2531249900003,50,90,2020-05-28,6.86
2020,BOKU,Tulln,2020.Tulln,1,17,4,TS077,1693.4989583149995,4.56566213599924,439.13802082000007,5,85,2020-05-20,0.86
2020,BOKU,Tulln,2020.Tulln,1,16,4,TS196,7855.187135054482,14.122266142386247,264.58456438545477,25,90,2020-05-28,5.14
2020,BOKU,Tulln,2020.Tulln,1,15,4,TS102,22650.255206999977,13.954351719186583,172.16666666000015,90,85,2020-06-05,7.29
2020,BOKU,Tulln,2020.Tulln,1,14,4,TS115,8611.502239229481,14.590176601767135,258.8961805466669,40,85,2020-05-28,6.43
2020,BOKU,Tulln,2020.Tulln,1,13,4,TS132,11619.257030307994,13.860280430962467,247.50312499999995,50,85,2020-05-30,6.86
2020,BOKU,Tulln,2020.Tulln,1,12,4,TS061,7428.794947589484,13.027591587198877,274.5392361033335,30,80,2020-05-28,1.71
2020,BOKU,Tulln,2020.Tulln,1,11,4,TS035,3612.384115164484,14.42932268679704,285.4499999820001,10,80,2020-05-22,1.29
2020,BOKU,Tulln,2020.Tulln,1,10,4,TS229,14771.606769624992,12.509090206729919,237.80677083499995,70,90,2020-06-03,2.14
2020,BOKU,Tulln,2020.Tulln,1,9,4,TS090,3766.1956248079914,8.228482526685315,345.75833332,15,85,2020-05-28,3.86
2020,BOKU,Tulln,2020.Tulln,1,8,4,TS119,6725.822551754484,13.027591587198877,276.7739583257145,25,105,2020-05-28,3
2020,BOKU,Tulln,2020.Tulln,1,7,4,TS176,15244.65364467499,12.509090206729919,229.1131944466666,70,90,2020-06-03,2.14
2020,BOKU,Tulln,2020.Tulln,1,6,4,TS086,8476.735311699496,12.370465195792626,273.58385416500005,40,90,2020-05-30,5.14
2020,BOKU,Tulln,2020.Tulln,1,5,4,TS020,7328.446353584994,8.698036011661772,328.98020832,20,100,2020-06-03,2.57
2020,BOKU,Tulln,2020.Tulln,1,4,4,TS009,12441.613540732993,12.605852680230731,258.79300594428565,60,95,2020-06-05,6.43
2020,BOKU,Tulln,2020.Tulln,1,3,4,TS195,13333.390624107478,13.954516580639513,235.87414772545458,80,90,2020-06-01,4.29
2020,BOKU,Tulln,2020.Tulln,1,2,4,TS039,9067.430625699475,17.82921539403032,219.28541665000034,50,70,2020-05-22,1.71
2020,BOKU,Tulln,2020.Tulln,1,1,4,TS091,15244.65364467499,12.509090206729919,229.1131944466666,70,90,2020-06-03,2.14
2020,BOKU,Tulln,2020.Tulln,1,1,5,TS205,17835.64843637499,13.705369412867658,199.59806547571424,80,75,2020-06-03,3.43
2020,BOKU,Tulln,2020.Tulln,1,2,5,TS002,14592.039061174994,13.705369412867658,235.43579545636356,80,110,2020-06-03,3
2020,BOKU,Tulln,2020.Tulln,1,3,5,TS191,9627.308072497479,15.803915664598483,258.8961805466669,30,90,2020-05-28,8.57
2020,BOKU,Tulln,2020.Tulln,1,4,5,TS066,3214.423698452484,12.687974769135243,289.69479165000007,5,80,2020-05-22,3.43
2020,BOKU,Tulln,2020.Tulln,1,5,5,TS122,8759.51536418748,14.590176601767135,262.02479165800025,30,85,2020-05-28,5.14
2020,BOKU,Tulln,2020.Tulln,1,6,5,TS216,11932.604165599994,10.986095927695681,248.98422619142855,60,80,2020-06-03,4.29
2020,BOKU,Tulln,2020.Tulln,1,7,5,TS206,16833.28645714999,13.705369412867658,211.72604166999986,80,80,2020-06-03,6.86
2020,BOKU,Tulln,2020.Tulln,1,8,5,TS024,15357.877602874993,13.705369412867658,232.59062500199994,80,80,2020-06-03,5.57
2020,BOKU,Tulln,2020.Tulln,1,9,5,TS057,2797.163698031494,8.8600537165276,320.75624999,5,90,2020-05-24,4.29
2020,BOKU,Tulln,2020.Tulln,1,10,5,TS103,16833.28645714999,13.705369412867658,211.72604166999986,80,85,2020-06-03,3.86
2020,BOKU,Tulln,2020.Tulln,1,11,5,TS033,3165.6282817894844,12.687974769135243,289.69479165000007,5,85,2020-05-22,0.86
2020,BOKU,Tulln,2020.Tulln,1,12,5,TS111,7095.083072587484,13.027591587198877,276.7739583257145,25,85,2020-05-28,7.71
2020,BOKU,Tulln,2020.Tulln,1,13,5,TS142,16833.28645714999,13.705369412867658,211.72604166999986,80,80,2020-06-03,3
2020,BOKU,Tulln,2020.Tulln,1,14,5,TS060,6308.861614279485,11.445039364343634,278.4499999925002,20,85,2020-05-28,6.86
2020,BOKU,Tulln,2020.Tulln,1,15,5,TS230,9940.505728254993,9.447223710944776,263.88750000000005,50,95,2020-06-03,3.43
2020,BOKU,Tulln,2020.Tulln,1,16,5,TS072,10349.13619754748,14.590176601767135,243.2531249900003,50,75,2020-05-28,4.71
2020,BOKU,Tulln,2020.Tulln,1,17,5,TS109,6544.223385082485,13.027591587198877,278.4499999925002,20,85,2020-05-28,7.71
2020,BOKU,Tulln,2020.Tulln,1,18,5,TS213,14036.989582364979,14.431083213344758,238.00729166500003,70,95,2020-06-01,3
2020,BOKU,Tulln,2020.Tulln,1,18,6,TS021,14814.506769807987,12.605852680230731,219.09583333,70,95,2020-06-05,0.86
2020,BOKU,Tulln,2020.Tulln,1,17,6,TS025,13515.918749134991,15.15827854509395,222.03437499200012,80,85,2020-05-30,6
2020,BOKU,Tulln,2020.Tulln,1,16,6,TS169,15301.609373749992,13.705369412867658,224.7664062524999,80,80,2020-06-03,4.29
2020,BOKU,Tulln,2020.Tulln,1,15,6,TS028,24693.104165299977,15.075446643102742,151.9954166600002,90,80,2020-06-05,9
2020,BOKU,Tulln,2020.Tulln,1,14,6,TS010,8049.118749144997,12.370465195792626,282.27743055333343,30,85,2020-05-30,1.71
2020,BOKU,Tulln,2020.Tulln,1,13,6,TS225,7439.671353774983,14.590176601767135,271.4106249920002,20,80,2020-05-28,2.14
2020,BOKU,Tulln,2020.Tulln,1,12,6,TS095,13700.804686524993,10.986095927695681,237.80677083499995,60,95,2020-06-03,4.71
2020,BOKU,Tulln,2020.Tulln,1,11,6,TS016,7845.999478497497,10.23772056608603,273.58385416500005,40,95,2020-05-30,3.86
2020,BOKU,Tulln,2020.Tulln,1,10,6,TS181,11788.927603254993,10.119825951249446,237.80677083499995,60,90,2020-06-03,6.43
2020,BOKU,Tulln,2020.Tulln,1,9,6,TS049,929.4097395809989,4.56566213599924,376.1028645700002,0.5,90,2020-05-20,0.43
2020,BOKU,Tulln,2020.Tulln,1,8,6,TS215,10478.439322107994,12.370465195792626,247.50312499999995,50,85,2020-05-30,7.29
2020,BOKU,Tulln,2020.Tulln,1,7,6,TS081,8613.62046836448,14.590176601767135,262.02479165800025,30,85,2020-05-28,3.86
2020,BOKU,Tulln,2020.Tulln,1,6,6,TS224,14331.171874149992,10.365098852197546,237.80677083499995,60,90,2020-06-03,0.43
2020,BOKU,Tulln,2020.Tulln,1,5,6,TS201,11667.028644966482,12.884287032518332,249.7395833325,60,90,2020-06-01,2.57
2020,BOKU,Tulln,2020.Tulln,1,4,6,TS172,5406.1114059574875,11.445039364343634,290.18229166000015,15,85,2020-05-28,3.86
2020,BOKU,Tulln,2020.Tulln,1,3,6,TS043,3318.256249972498,12.603673643770398,292.8964583200003,5,80,2020-05-20,1.29
2020,BOKU,Tulln,2020.Tulln,1,2,6,TS085,10541.130728784976,15.803915664598483,243.2531249900003,50,80,2020-05-28,5.57
2020,BOKU,Tulln,2020.Tulln,1,1,6,TS166,5136.978593482489,11.445039364343634,308.7076388800001,20,90,2020-05-28,3
2020,BOKU,Tulln,2020.Tulln,1,1,7,TS034,1686.5086979059986,7.28111128661119,329.8770833200003,3,80,2020-05-20,0.86
2020,BOKU,Tulln,2020.Tulln,1,2,7,TS220,13995.96093653248,14.431083213344758,238.00729166500003,70,85,2020-06-01,5.14
2020,BOKU,Tulln,2020.Tulln,1,3,7,TS046,688.8303645814992,3.6553131426456904,402.05851714352957,0.5,75,2020-05-20,0.86
2020,BOKU,Tulln,2020.Tulln,1,4,7,TS050,1927.6211459574943,12.310883459883405,306.31650639923083,0.5,85,2020-05-24,3
2020,BOKU,Tulln,2020.Tulln,1,5,7,TS055,2718.2126042954937,10.595184767288268,309.02395832250005,5,85,2020-05-24,8.14
2020,BOKU,Tulln,2020.Tulln,1,6,7,TS123,6162.030676782485,11.445039364343634,278.4499999925002,20,85,2020-05-28,2.57
2020,BOKU,Tulln,2020.Tulln,1,7,7,TS211,7935.2929679804965,10.863465338710029,282.27743055333343,30,90,2020-05-30,4.71
2020,BOKU,Tulln,2020.Tulln,1,8,7,TS037,2020.5725525279881,10.922473550891336,301.48587961666664,1,70,2020-05-22,6.43
2020,BOKU,Tulln,2020.Tulln,1,9,7,TS161,19547.403644524984,13.954351719186583,198.23842592111117,90,80,2020-06-05,6
2020,BOKU,Tulln,2020.Tulln,1,10,7,TS116,16833.28645714999,13.705369412867658,211.72604166999986,80,75,2020-06-03,4.71
2020,BOKU,Tulln,2020.Tulln,1,11,7,TS146,6031.6973434324855,13.027591587198877,290.18229166000015,20,85,2020-05-28,3
2020,BOKU,Tulln,2020.Tulln,1,12,7,TS030,9413.106926082497,13.539653506589165,268.367708332,30,80,2020-05-30,4.29
2020,BOKU,Tulln,2020.Tulln,1,13,7,TS004,12889.846353224992,11.243009980197522,246.88385415999994,60,85,2020-06-05,1.71
2020,BOKU,Tulln,2020.Tulln,1,14,7,TS069,2892.8913026079854,12.687974769135243,292.0530092433334,5,75,2020-05-22,0.43
2020,BOKU,Tulln,2020.Tulln,1,15,7,TS159,15830.924477924993,13.705369412867658,224.7664062524999,80,85,2020-06-03,3
2020,BOKU,Tulln,2020.Tulln,1,16,7,TS129,15076.179686474992,11.52913457920097,211.72604166999986,70,90,2020-06-03,6
2020,BOKU,Tulln,2020.Tulln,1,17,7,TS094,11081.522134580495,13.539653506589165,236.89114583000003,60,75,2020-05-30,6
2020,BOKU,Tulln,2020.Tulln,1,18,7,TS044,7633.297030909483,13.027591587198877,266.7177083250002,30,85,2020-05-28,5.14
2020,BOKU,Tulln,2020.Tulln,1,18,8,TS080,9722.320311816486,10.372593060458613,261.47187499999995,50,95,2020-06-01,2.14
2020,BOKU,Tulln,2020.Tulln,1,17,8,TS194,20854.90624879999,15.34200181705013,186.25729166200003,90,80,2020-06-03,5.57
2020,BOKU,Tulln,2020.Tulln,1,16,8,TS158,15118.359374029977,14.431083213344758,226.27499999750006,80,90,2020-06-01,7.71
2020,BOKU,Tulln,2020.Tulln,1,15,8,TS011,8421.636718352482,14.590176601767135,264.58456438545477,25,80,2020-05-28,5.14
2020,BOKU,Tulln,2020.Tulln,1,14,8,TS018,6488.897290914499,10.863465338710029,299.66458333000014,25,90,2020-05-30,4.29
2020,BOKU,Tulln,2020.Tulln,1,13,8,TS155,11504.341144874994,10.365098852197546,248.98422619142855,60,75,2020-06-03,7.29
2020,BOKU,Tulln,2020.Tulln,1,12,8,TS121,8712.27265585748,14.590176601767135,262.02479165800025,30,80,2020-05-28,6.43
2020,BOKU,Tulln,2020.Tulln,1,11,8,TS052,9244.253280839479,15.803915664598483,258.8961805466669,30,80,2020-05-28,1.71
2020,BOKU,Tulln,2020.Tulln,1,10,8,TS151,6932.938280477998,10.23772056608603,286.6242187475001,20,85,2020-05-30,1.71
2020,BOKU,Tulln,2020.Tulln,1,9,8,TS054,1442.9142708144996,4.56566213599924,397.1145833200002,5,85,2020-05-20,0.43
2020,BOKU,Tulln,2020.Tulln,1,8,8,TS022,8731.72723918948,14.590176601767135,262.02479165800025,30,80,2020-05-28,8.14
2020,BOKU,Tulln,2020.Tulln,1,7,8,TS208,13814.028644724993,12.045619279832392,237.80677083499995,70,90,2020-06-03,7.71
2020,BOKU,Tulln,2020.Tulln,1,6,8,TS148,5649.504635132486,11.445039364343634,290.18229166000015,20,80,2020-05-28,6.43
2020,BOKU,Tulln,2020.Tulln,1,5,8,TS177,15748.841144774986,12.605852680230731,208.6671296255556,70,85,2020-06-05,4.29
2020,BOKU,Tulln,2020.Tulln,1,4,8,TS228,8201.398436939997,9.867158796707749,340.05416664999984,25,80,2020-06-05,8.14
2020,BOKU,Tulln,2020.Tulln,1,3,8,TS175,8479.982447539482,14.590176601767135,266.7177083250002,30,90,2020-05-28,8.14
2020,BOKU,Tulln,2020.Tulln,1,2,8,TS017,8759.51536418748,14.590176601767135,262.02479165800025,30,80,2020-05-28,6.86
2020,BOKU,Tulln,2020.Tulln,1,1,8,TS070,7316.900989856499,15.2522727966682,256.67916665999996,30,90,2020-05-26,7.29
2020,BOKU,Tulln,2020.Tulln,1,1,9,TS133,1686.5086979059986,7.28111128661119,329.8770833200003,3,75,2020-05-20,0.43
2020,BOKU,Tulln,2020.Tulln,1,2,9,TS137,22219.838540349978,13.954351719186583,172.16666666000015,90,80,2020-06-05,4.71
2020,BOKU,Tulln,2020.Tulln,1,3,9,TS174,15830.924477924993,13.705369412867658,224.7664062524999,80,85,2020-06-03,3.86
2020,BOKU,Tulln,2020.Tulln,1,4,9,TS149,11211.549478224995,10.365098852197546,246.5003472233333,60,90,2020-06-03,2.57
2020,BOKU,Tulln,2020.Tulln,1,5,9,TS135,16833.28645714999,13.705369412867658,211.72604166999986,80,85,2020-06-03,6
2020,BOKU,Tulln,2020.Tulln,1,6,9,TS065,9758.827864187479,15.803915664598483,252.63895832400027,40,80,2020-05-28,5.14
2020,BOKU,Tulln,2020.Tulln,1,7,9,TS173,14988.190103166477,15.618101651435602,230.1857638866667,90,95,2020-06-01,6.43
2020,BOKU,Tulln,2020.Tulln,1,8,9,TS003,12518.874998849995,12.045619279832392,240.70462963111106,70,85,2020-06-03,6.86
2020,BOKU,Tulln,2020.Tulln,1,9,9,TS087,9940.505728254993,9.447223710944776,263.88750000000005,50,95,2020-06-03,4.71
2020,BOKU,Tulln,2020.Tulln,1,10,9,TS179,10396.837499094996,13.539653506589165,247.50312499999995,50,90,2020-05-30,6.43
2020,BOKU,Tulln,2020.Tulln,1,11,9,TS193,8264.464582559995,8.698036011661772,328.98020832,40,90,2020-06-03,5.57
2020,BOKU,Tulln,2020.Tulln,1,12,9,TS063,10028.64557253748,14.590176601767135,254.98541665750025,40,70,2020-05-28,8.14
2020,BOKU,Tulln,2020.Tulln,1,13,9,TS212,7510.948957812998,9.867158796707749,340.05416664999984,20,90,2020-06-05,6.86
2020,BOKU,Tulln,2020.Tulln,1,14,9,TS139,16992.492186324987,12.605852680230731,208.6671296255556,80,70,2020-06-05,5.14
