WS.partner,source,Year,Location,Rep,Plot,Row,Col,Block,GID,Sowing.Date,Origin,Height,Awnedness,Accession_number,WinterSurvival_Visual,VinterSurvival_TPVP_Index,Lodging_T,HD_Date,Anthesis.Date,DTH,DTA,DTM,Anther.extrusion.anther.retention,FHB1,FHB2,FHB3,FHB4,FHB5,FHB6,FHB1Date,FHB2Date,FHB3Date,FHB4Date,FHB5Date,FHB6Date,DFHB1,DFHB2,DFHB3,DFHB4,DFHB5,DFHB6,DON,AUDPC,FHB0,DFHB0,DFHBmax,AUDPC_std
BOKU,Boku_FHB,2020,Tulln,1,1041,5,3,NA,TS074,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-15,2020-05-20,207,212,NA,0.86,0.1,0.1,1,3,10,25,2020-05-30,2020-06-03,2020-06-07,2020-06-11,2020-06-15,2020-06-19,10,14,18,22,26,30,NA,105.3,0,0,30,3.5
BOKU,Boku_FHB,2020,Tulln,1,1042,6,3,NA,TS147,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,2.14,0,0.5,15,50,70,80,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,672,0,0,30,22.4
BOKU,Boku_FHB,2020,Tulln,1,1043,7,3,NA,TS097,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-31,2020-06-05,223,228,NA,6,10,30,90,90,100,100,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,2020-07-05,10,14,18,22,26,30,NA,1350,0,0,30,45
BOKU,Boku_FHB,2020,Tulln,1,1044,8,3,NA,TS059,2019-10-21,NA,95,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,5.57,0.1,0.1,20,40,60,80,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,601.3,0,0,30,20
BOKU,Boku_FHB,2020,Tulln,1,1045,9,3,NA,TS210,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-31,2020-06-05,223,228,NA,1.29,0.1,3,15,25,60,70,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,2020-07-05,10,14,18,22,26,30,NA,522.9,0,0,30,17.4
BOKU,Boku_FHB,2020,Tulln,1,1046,10,3,NA,TS219,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-31,2020-06-05,223,228,NA,4.71,5,25,80,90,90,90,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,2020-07-05,10,14,18,22,26,30,NA,1205,0,0,30,40.2
BOKU,Boku_FHB,2020,Tulln,1,1047,11,3,NA,TS156,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,6.86,0.5,1,10,30,90,90,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,688.5,0,0,30,23
BOKU,Boku_FHB,2020,Tulln,1,1048,12,3,NA,TS168,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-19,2020-05-24,211,216,NA,2.57,0.1,0.5,3,10,25,70,2020-06-03,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,10,14,18,22,26,30,NA,288.9,0,0,30,9.6
BOKU,Boku_FHB,2020,Tulln,1,1049,13,3,NA,TS126,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,7.71,0.1,0.5,15,40,70,80,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,632.9,0,0,30,21.1
BOKU,Boku_FHB,2020,Tulln,1,1050,14,3,NA,TS107,2019-10-21,NA,95,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,7.29,0.1,0.5,20,40,80,80,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,682.9,0,0,30,22.8
