Trait,Rep,Model,Value
AUDPC,1,m0,0.5176859195801925
AUDPC,1,m1,0.50537062834585
AUDPC,1,m2,0.5252790995118914
AUDPC,1,m3,0.5187791758260455
AUDPC,2,m0,0.5020788841878254
AUDPC,2,m1,0.4981194894826075
AUDPC,2,m2,0.4992563304520153
AUDPC,2,m3,0.49821452465397226
AUDPC,3,m0,0.5212754643052642
AUDPC,3,m1,0.5078561303864212
AUDPC,3,m2,0.5128271826026156
AUDPC,3,m3,0.5056798501863665
AUDPC,4,m0,0.5204096133333942
AUDPC,4,m1,0.506377541385562
AUDPC,4,m2,0.5090979334243849
AUDPC,4,m3,0.49840483909086514
AUDPC,5,m0,0.5222575212636382
AUDPC,5,m1,0.5002466496271794
AUDPC,5,m2,0.5270770355930922
AUDPC,5,m3,0.5155392406092023
AUDPC,6,m0,0.5574202569996369
AUDPC,6,m1,0.5358411576159199
AUDPC,6,m2,0.5589686080017127
AUDPC,6,m3,0.5495901802323535
AUDPC,7,m0,0.4965363732416686
AUDPC,7,m1,0.48423307774189445
AUDPC,7,m2,0.49382056114884476
AUDPC,7,m3,0.48574892848227014
AUDPC,8,m0,0.507912208566953
AUDPC,8,m1,0.4964620452416634
AUDPC,8,m2,0.4837377149555212
AUDPC,8,m3,0.47978004537769153
AUDPC,9,m0,0.5245798406036569
AUDPC,9,m1,0.5096319987704124
AUDPC,9,m2,0.5226505407263703
AUDPC,9,m3,0.5136946210512683
AUDPC,10,m0,0.548560959179268
AUDPC,10,m1,0.5390718939674695
AUDPC,10,m2,0.5453140102203808
AUDPC,10,m3,0.5390590026024991
AUDPC,11,m0,0.5052391098418743
AUDPC,11,m1,0.4952074231339108
AUDPC,11,m2,0.5057002806276993
AUDPC,11,m3,0.5026237904835406
AUDPC,12,m0,0.5132414160281313
AUDPC,12,m1,0.48926505269974635
AUDPC,12,m2,0.5107803351960092
AUDPC,12,m3,0.49627826680303966
AUDPC,13,m0,0.5328727066954654
AUDPC,13,m1,0.5219949393735631
AUDPC,13,m2,0.521387505282792
AUDPC,13,m3,0.5151531208863273
AUDPC,14,m0,0.5320045690601828
AUDPC,14,m1,0.5168249195825342
AUDPC,14,m2,0.5297283169425622
AUDPC,14,m3,0.5218473894415141
AUDPC,15,m0,0.5417024633829988
AUDPC,15,m1,0.534744513904567
AUDPC,15,m2,0.5309630440276081
AUDPC,15,m3,0.5285398309101849
AUDPC,16,m0,0.5681003083047369
AUDPC,16,m1,0.5569951047677273
AUDPC,16,m2,0.5637759415840214
AUDPC,16,m3,0.5602031564874156
AUDPC,17,m0,0.5353681373771342
AUDPC,17,m1,0.5219432606671794
AUDPC,17,m2,0.5382789627400905
AUDPC,17,m3,0.5309728842081937
AUDPC,18,m0,0.5195581714771158
AUDPC,18,m1,0.49644100671260144
AUDPC,18,m2,0.5183633383501374
AUDPC,18,m3,0.5067085089883885
AUDPC,19,m0,0.49722025956543997
AUDPC,19,m1,0.48502803232334946
AUDPC,19,m2,0.4977996839469546
AUDPC,19,m3,0.49268394236038054
AUDPC,20,m0,0.524784421470136
AUDPC,20,m1,0.5086308981961807
AUDPC,20,m2,0.5157094129077373
AUDPC,20,m3,0.5062741512472607
AUDPC,21,m0,0.5525049995570082
AUDPC,21,m1,0.5380082481922908
AUDPC,21,m2,0.5373545603593441
AUDPC,21,m3,0.5326912740156917
AUDPC,22,m0,0.5388718051746804
AUDPC,22,m1,0.528273771151254
AUDPC,22,m2,0.5273961490522004
AUDPC,22,m3,0.522643384570879
AUDPC,23,m0,0.5566929605276812
AUDPC,23,m1,0.5392240241936092
AUDPC,23,m2,0.54661091371256465
AUDPC,23,m3,0.5395732827791256
AUDPC,24,m0,0.5094734997111509
AUDPC,24,m1,0.4901743914047665
AUDPC,24,m2,0.4992322050568759
AUDPC,24,m3,0.4894002864358448
AUDPC,25,m0,0.538025139185425
AUDPC,25,m1,0.5139943488533311
AUDPC,25,m2,0.5318795852635099
AUDPC,25,m3,0.5188771006046925
Angle,1,m0,0.51562281115891
Angle,1,m1,0.5005335368220565
Angle,1,m2,0.5098787738406972
Angle,1,m3,0.502487078010358
Angle,2,m0,0.4751689777328128
Angle,2,m1,0.4693627525279755
Angle,2,m2,0.46188971385449384
Angle,2,m3,0.4610172897360544
Angle,3,m0,0.48380266624442775
Angle,3,m1,0.4631098438988979
Angle,3,m2,0.4566413054235403
Angle,3,m3,0.44562318213029756
Angle,4,m0,0.5055889809684079
Angle,4,m1,0.4849565423206413
Angle,4,m2,0.4922432742723381
Angle,4,m3,0.4785871870852273
Angle,5,m0,0.4949821409688405
Angle,5,m1,0.4739570289651578
Angle,5,m2,0.4941526361661797
Angle,5,m3,0.48365446221316993
Angle,6,m0,0.5478763320734302
Angle,6,m1,0.524274397506381
Angle,6,m2,0.5423347066696982
Angle,6,m3,0.5316705185406667
Angle,7,m0,0.5021478827026228
Angle,7,m1,0.4797636396187485
Angle,7,m2,0.48267110147995224
Angle,7,m3,0.47148023295073266
Angle,8,m0,0.4857316154877098
Angle,8,m1,0.4666042934716711
Angle,8,m2,0.45052517985864005
Angle,8,m3,0.4429684413988097
Angle,9,m0,0.5097705440598701
Angle,9,m1,0.493098934720096
Angle,9,m2,0.49713512116884223
Angle,9,m3,0.48789696364071894
Angle,10,m0,0.5022977511756481
Angle,10,m1,0.48820460631817614
Angle,10,m2,0.4924164309815006
Angle,10,m3,0.4860279399817132
Angle,11,m0,0.47527068292070546
Angle,11,m1,0.46076812991838495
Angle,11,m2,0.46726162923803194
Angle,11,m3,0.46258492028046155
Angle,12,m0,0.4957995362906748
Angle,12,m1,0.4751772532400079
Angle,12,m2,0.4869386664289682
Angle,12,m3,0.47759606527299014
Angle,13,m0,0.49846800902792315
Angle,13,m1,0.486121131331833
Angle,13,m2,0.47829509920018665
Angle,13,m3,0.47332932919978027
Angle,14,m0,0.5064847657195727
Angle,14,m1,0.485045415901724
Angle,14,m2,0.5009018012288196
Angle,14,m3,0.49138121230988413
Angle,15,m0,0.5250389513528403
Angle,15,m1,0.5139094001471052
Angle,15,m2,0.5042623840954176
Angle,15,m3,0.49958085584989903
Angle,16,m0,0.5257929688829381
Angle,16,m1,0.510264653256427
Angle,16,m2,0.5156164629212759
Angle,16,m3,0.5078069530684964
Angle,17,m0,0.5110272677162725
Angle,17,m1,0.4967131775536987
Angle,17,m2,0.5114336734954741
Angle,17,m3,0.5042576461706086
Angle,18,m0,0.5174666806749747
Angle,18,m1,0.49214093072455767
Angle,18,m2,0.5087419295615699
Angle,18,m3,0.49686790335367526
Angle,19,m0,0.4550855308781291
Angle,19,m1,0.44590920391722266
Angle,19,m2,0.44511408327092783
