Trial,Trait,Rep,Model,Value
2020.Tulln,AUDPC,1,m0,0.6287496787423225
2020.Tulln,AUDPC,1,m1,0.5568383313418985
2020.Tulln,AUDPC,1,m2,0.629650017515432
2020.Tulln,AUDPC,1,m3,0.5673619961668541
2020.Tulln,AUDPC,2,m0,0.6518261988464186
2020.Tulln,AUDPC,2,m1,0.5640943580029804
2020.Tulln,AUDPC,2,m2,0.6508649948529288
2020.Tulln,AUDPC,2,m3,0.5759059353521955
2020.Tulln,AUDPC,3,m0,0.6227753987745531
2020.Tulln,AUDPC,3,m1,0.5441063262307965
2020.Tulln,AUDPC,3,m2,0.6233351608358907
2020.Tulln,AUDPC,3,m3,0.5547835174398812
2020.Tulln,AUDPC,4,m0,0.6176627767161998
2020.Tulln,AUDPC,4,m1,0.5473683002467592
2020.Tulln,AUDPC,4,m2,0.6177560373505454
2020.Tulln,AUDPC,4,m3,0.5686145877240121
2020.Tulln,AUDPC,5,m0,0.639355221435173
2020.Tulln,AUDPC,5,m1,0.5570163499628636
2020.Tulln,AUDPC,5,m2,0.6399651421782455
2020.Tulln,AUDPC,5,m3,0.5729157721107506
2020.Tulln,AUDPC,6,m0,0.6056689379372028
2020.Tulln,AUDPC,6,m1,0.5281387528725863
2020.Tulln,AUDPC,6,m2,0.6056311988865919
2020.Tulln,AUDPC,6,m3,0.5374828349895777
2020.Tulln,AUDPC,7,m0,0.6245838530911401
2020.Tulln,AUDPC,7,m1,0.5298281422608903
2020.Tulln,AUDPC,7,m2,0.6251013571720999
2020.Tulln,AUDPC,7,m3,0.5487247533564062
2020.Tulln,AUDPC,8,m0,0.6080620368345346
2020.Tulln,AUDPC,8,m1,0.5014989092748028
2020.Tulln,AUDPC,8,m2,0.6078061361649054
2020.Tulln,AUDPC,8,m3,0.515247755643565
2020.Tulln,AUDPC,9,m0,0.6256727562556468
2020.Tulln,AUDPC,9,m1,0.5631228866229413
2020.Tulln,AUDPC,9,m2,0.624769474990769
2020.Tulln,AUDPC,9,m3,0.5707827884376189
2020.Tulln,AUDPC,10,m0,0.6298254863514068
2020.Tulln,AUDPC,10,m1,0.5434728829260097
2020.Tulln,AUDPC,10,m2,0.6300814157568222
2020.Tulln,AUDPC,10,m3,0.556817869097018
2020.Tulln,Angle,1,m0,0.483250067917976
2020.Tulln,Angle,1,m1,0.48888065054549146
2020.Tulln,Angle,1,m2,0.48087036472743244
2020.Tulln,Angle,1,m3,0.48228692128997513
2020.Tulln,Angle,2,m0,0.47822786298708686
2020.Tulln,Angle,2,m1,0.4820647156759687
2020.Tulln,Angle,2,m2,0.47212513147993923
2020.Tulln,Angle,2,m3,0.47390771681282223
2020.Tulln,Angle,3,m0,0.4690196177325339
2020.Tulln,Angle,3,m1,0.4721470210814397
2020.Tulln,Angle,3,m2,0.46953383893939293
2020.Tulln,Angle,3,m3,0.46810994019326746
2020.Tulln,Angle,4,m0,0.47988587446465275
2020.Tulln,Angle,4,m1,0.48060275938616465
2020.Tulln,Angle,4,m2,0.47551852897913227
2020.Tulln,Angle,4,m3,0.4729031806935125
2020.Tulln,Angle,5,m0,0.45205395623902606
2020.Tulln,Angle,5,m1,0.4541199385524586
2020.Tulln,Angle,5,m2,0.44791950069895536
2020.Tulln,Angle,5,m3,0.4471452331311864
2020.Tulln,Angle,6,m0,0.5039032133156753
2020.Tulln,Angle,6,m1,0.5058358129688287
2020.Tulln,Angle,6,m2,0.4943262275919008
2020.Tulln,Angle,6,m3,0.49314212499063165
2020.Tulln,Angle,7,m0,0.4997720081334982
2020.Tulln,Angle,7,m1,0.5070821190353366
2020.Tulln,Angle,7,m2,0.5003239045128903
2020.Tulln,Angle,7,m3,0.503953006567715
2020.Tulln,Angle,8,m0,0.46170542187364916
2020.Tulln,Angle,8,m1,0.46620778145832037
2020.Tulln,Angle,8,m2,0.45459034736965537
2020.Tulln,Angle,8,m3,0.4563424050526521
2020.Tulln,Angle,9,m0,0.46372715365227773
2020.Tulln,Angle,9,m1,0.46760219702275746
2020.Tulln,Angle,9,m2,0.45765514204394714
2020.Tulln,Angle,9,m3,0.4584523294888189
2020.Tulln,Angle,10,m0,0.493415172838334
2020.Tulln,Angle,10,m1,0.4973341931282023
2020.Tulln,Angle,10,m2,0.4876839272541965
2020.Tulln,Angle,10,m3,0.48916407316372357
2020.Tulln,GDD50,1,m0,0.5975776473059015
2020.Tulln,GDD50,1,m1,0.5442010813375064
2020.Tulln,GDD50,1,m2,0.5963211325883093
2020.Tulln,GDD50,1,m3,0.5435790401246409
2020.Tulln,GDD50,2,m0,0.602618363265121
2020.Tulln,GDD50,2,m1,0.5443054668253385
2020.Tulln,GDD50,2,m2,0.5986982024915212
2020.Tulln,GDD50,2,m3,0.5413311731380752
2020.Tulln,GDD50,3,m0,0.5828845004753624
2020.Tulln,GDD50,3,m1,0.5313866273564843
2020.Tulln,GDD50,3,m2,0.5825282323748919
2020.Tulln,GDD50,3,m3,0.5337335064663565
2020.Tulln,GDD50,4,m0,0.5850120689595335
