Available,h2,Y.approach,Reps,phen.Value,inte.Value,a.Value,b.Value
all,1,AUDPC,1,0.904937989038845,0.9022438731136132,-0.7259669977453551,0.1566092453547631
all,0.8,AUDPC,1,0.712624708036007,0.8376179057213391,-0.6729088317123345,0.14581758859228952
all,0.5,AUDPC,1,0.40591271923156386,0.7264059470113539,-0.5748163290542948,0.16939858373807382
all,0.2,AUDPC,1,0.1945216088767236,0.5490320720118529,-0.430795385327291,0.11984113476728148
firsts,1,AUDPC,1,0.9679391613212454,0.7610816522103324,-0.5816229331250503,0.4962109417621059
firsts,0.8,AUDPC,1,0.7293174755630074,0.743832618878097,-0.5860064730753589,0.4275526052261337
firsts,0.5,AUDPC,1,0.3876451644791024,0.6763781209564534,-0.531637215220804,0.3067467570800538
firsts,0.2,AUDPC,1,0.22873250209381743,0.5703049641228507,-0.4546661108800454,0.18677699863170036
mids,1,AUDPC,1,0.9050231193668148,0.8954473831904182,-0.7056357503692462,0.17722049510433344
mids,0.8,AUDPC,1,0.6819477012462912,0.8328059241839592,-0.6564870796557615,0.1600346042521616
mids,0.5,AUDPC,1,0.35416917393885194,0.720312649612828,-0.5730729381518403,0.155251578168032
mids,0.2,AUDPC,1,0.21258081709471652,0.5542201468393932,-0.4400175054465738,0.14266196408819362
evens,1,AUDPC,1,0.9031697527397856,0.894333477473715,-0.7174579621223974,0.18868235340145817
evens,0.8,AUDPC,1,0.7074699223808106,0.8400099679911208,-0.6680061604968891,0.16176065410595206
evens,0.5,AUDPC,1,0.40510956788823593,0.7296810965954917,-0.5792429243609434,0.16661585150460811
evens,0.2,AUDPC,1,0.214394888124616,0.5669007586031769,-0.43736562443024096,0.12140797894578773
odds,1,AUDPC,1,0.9250462103510751,0.8881189958316318,-0.7025037685022177,0.25645542198205984
odds,0.8,AUDPC,1,0.7179963954911927,0.8324602441301875,-0.655412760700087,0.213875197847264
odds,0.5,AUDPC,1,0.3698081845441746,0.7040661319380608,-0.5585868667428938,0.21197521297021027
odds,0.2,AUDPC,1,0.19048178012615463,0.5680118595153735,-0.4523609481416817,0.14457367509443342
limits,1,AUDPC,1,0.8228918247943949,0.8120935254798505,-0.6460945679703873,0.3318050883647489
