Available,h2,Y.approach,Reps,phen.Value,inte.Value,a.Value,b.Value
all,1,AUDPC,1,0.9034818450448189,0.9006893246152186,-0.7189577347080615,0.028443389687141135
all,1,AUDPC,2,0.8996278192603449,0.8966563335658444,-0.7196496637514236,0.03977523917923641
all,1,AUDPC,3,0.9048458866222392,0.9019769622203281,-0.7199943947002007,0.026199051195641528
all,1,AUDPC,4,0.8984782875292953,0.8957157538517488,-0.7158857818248707,0.026102775167903748
all,1,AUDPC,5,0.9025036780805948,0.8996066429781808,-0.719717217313587,0.03260976814237665
all,1,AUDPC,6,0.9044519841871648,0.9014447495378233,-0.7166858371030561,0.03704032885392629
all,1,AUDPC,7,0.902825763257358,0.8999095310163132,-0.7220347831339484,0.033874523677749666
all,1,AUDPC,8,0.8989822866038403,0.8960822166731858,-0.7161978610367877,0.027175195954472642
all,1,AUDPC,9,0.9029632138250395,0.9001818287231903,-0.7161639955807966,0.02200467185047481
all,1,AUDPC,10,0.9026891625158382,0.8998853833002892,-0.7181173706075819,0.035474962643313804
all,1,AUDPC,11,0.9044066102379307,0.9015070898755366,-0.7159509167832254,0.028189811029473728
all,1,AUDPC,12,0.9013374145701278,0.8984752301436465,-0.7178879318164845,0.032435604530960525
all,1,AUDPC,13,0.9029216104896618,0.8997991945227676,-0.7162820391719533,0.03132706447690669
all,1,AUDPC,14,0.8953332002584905,0.8927968866325654,-0.7182465550434723,0.03156503938744018
all,1,AUDPC,15,0.901403660037613,0.8986257340662871,-0.7202349792933563,0.03182444652293988
all,1,AUDPC,16,0.9004079611217348,0.8974029105121764,-0.7168580428170354,0.033676464488690695
all,1,AUDPC,17,0.9016338742865467,0.8987027920609261,-0.7208625458903957,0.03375534358007189
all,1,AUDPC,18,0.8998997327650435,0.8971816418910094,-0.7190364453062741,0.024596728942853918
all,1,AUDPC,19,0.9010327173545024,0.8981185045441538,-0.7186615156083406,0.026323370488695808
all,1,AUDPC,20,0.9004975077526732,0.8978181106471957,-0.7179833249054677,0.03073796054300047
all,1,AUDPC,21,0.9041764962367873,0.9012934975738768,-0.7211351049721502,0.03207825446437886
all,1,AUDPC,22,0.8971686656251531,0.8941283931015029,-0.717216773631,0.04735782295112029
all,1,AUDPC,23,0.90319627522688,0.900324687721433,-0.7157327740064864,0.03235807033583882
all,1,AUDPC,24,0.8964788733623055,0.8938153872782376,-0.7174853303773288,0.031795401058134644
all,1,AUDPC,25,0.9008399201808976,0.8979857814775695,-0.7176304619439287,0.03476474133459177
all,1,AUDPC,26,0.9028004907212376,0.8999166813277069,-0.7201211779433074,0.0263513134581809
all,1,AUDPC,27,0.9003502963301969,0.8973246810916852,-0.7189113803280336,0.03886884480997815
all,1,AUDPC,28,0.9033384229950052,0.9003650887343218,-0.7212726497144069,0.034589681240762296
all,1,AUDPC,29,0.9020686829970936,0.8989615227555603,-0.7177697124621508,0.03041804465836444
all,1,AUDPC,30,0.8986047011562341,0.8956576872293154,-0.7179768844862916,0.04302594530021696
all,1,Angle,1,0.6541654301063419,0.50886597550605694,-0.47545705648914083,-0.544621425974179
all,1,Angle,2,0.6465581713672588,0.51434889270043,-0.48360884444885954,-0.5224497566618735
all,1,Angle,3,0.6397797009139993,0.5034879284582555,-0.47918604669690007,-0.536470832326339
all,1,Angle,4,0.6456852046460173,0.5077799010528921,-0.4710323695484248,-0.5454263271552715
all,1,Angle,5,0.6441678867471038,0.5053649445711358,-0.47223144869451483,-0.5473167295475194
all,1,Angle,6,0.6365854403598927,0.518247098129335,-0.48031171884481694,-0.5289054650618635
